Taxa	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	8.03811545740052e-05	0	0	0.000135414629638997	0	0	0	0	0	0.000268169063529251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136947130738496	0	0	0	0	0.000101273702477104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota	0.0124434730495789	0.0014709751287043	0.00166390260159864	0.00101360788862639	0.0250596720496637	0	0.00255503341582918	0.00186552088061585	0.00216422932524886	0.00462215590712428	0.277945044845181	0.0487309621991592	0.00284806179573897	0.000227007264675411	0	0.000607584037552165	0.0017774154286636	0	0.000874838856842665	0.00185378968947744	0.0020080498255172	0.00161307507980704	0.000744643996528574	0	0.00298318629561141	0.000308120663132889	0.00222754172484873	0	0.00118342591972221	0.000576060011627771	0.0984838323172144	0.00207246657850923	0.000595749552362642	0.00214043794533204	0.00167570335711185	0.00196309425026581	0.00300445317348742	0	0.00122508302083312	0.000588234415336074	0	0.000610062961229224	0.0004055256930941	8.8816154379529e-05	0	0.00235941517140931	0	0	0.00188454781160269	0	0.000342579131735094	0	0.00184416679642853	0.000308517996780306	0	0	0	0.00154088787625254	0	0.00034279535305301	0.00189528320650548	0.00120342080310401
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.0123055727615457	0.0014709751287043	0.00114238089064981	0.00101360788862639	0.0250596720496637	0	0.00255503341582918	0.00186552088061585	0.00195950492961722	0.00422493938385578	0.277676875781652	0.0485969325071147	0.0027089323402	0.000227007264675411	0	0.000607584037552165	0.00167774727378527	0	0.000874838856842665	0.00185378968947744	0.0020080498255172	0.00153273034403121	0.000744643996528574	0	0.00288601410357195	0.000308120663132889	0.0019394019992464	0	0.00109239315666666	0.000576060011627771	0.0984838323172144	0.00207246657850923	0.00040253348132611	0.00214043794533204	0.00147229427908094	0.00196309425026581	0.00286098209497819	0	0.00103780918325354	0.000588234415336074	0	0.000610062961229224	0	8.8816154379529e-05	0	0.00235941517140931	0	0	0.00188454781160269	0	0.000342579131735094	0	0.00173323947032756	0.000308517996780306	0	0	0	0.000520570228463697	0	0.0002636887331177	0.00189528320650548	0.00120342080310401
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.0120541075304265	0.0014709751287043	0.000670527914077063	0.000405443155450555	0.0245897036291519	0	0.00255503341582918	0.00152803971628334	0.00162804638430883	0.0030152345175381	0.277018642625716	0.0485969325071147	0.00169410572332749	0.000227007264675411	0	0.000607584037552165	0.00158638479848013	0	0.000874838856842665	0.00185378968947744	0.00167337485459767	0.00103830120079534	0.000562812322957643	0	0.00278884191153249	0.000176068950361651	0.00100848903960813	0	0.000191168802416665	0.000576060011627771	0.0984838323172144	0.00195377906520254	0.000305925445807843	0.00214043794533204	0.00147229427908094	0.00173090030668598	0.00259091888837258	0	0.000928566111332112	0.000494863873219237	0	0.000482587118584312	0	8.8816154379529e-05	0	0.00225376971597307	0	0	0.00171795794980356	0	0	0	0.0015529825654135	0.000308517996780306	0	0	0	0.000208228091385479	0	0	0.00189528320650548	0.00120342080310401
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.0084930353865118	0.00114945051040827	0	0	0.0167675173758875	0	0.00190375038826488	0.000956196632275461	0.00107236588188007	0.00185969554075703	0.201175555658489	0.0343674468683962	0.00144039906910937	0.000227007264675411	0	0.000607584037552165	0.000622925967989579	0	0.000129605756569284	0.00119628792769234	0.000803219930206882	0.000203952021584799	0.00014719706908123	0	0.00200174715601287	0	0.000265975131325221	0	0	0	0.000860614299532547	0.000447360627079086	0.000144912053277399	0.000703705625862589	0.000184036784885117	0.000453833616996934	0.00237993200821195	0	0.000234092296974482	0.000289448680562195	0	0.000136581259976692	0	8.8816154379529e-05	0	0.00126774546523485	0	0	0.000812125576270774	0	0	0	0.00124793241863585	0.000308517996780306	0	0	0	0	0	0	0.00139423132432587	0.00112016527584524
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.0084930353865118	0.00114945051040827	0	0	0.0167675173758875	0	0.00190375038826488	0.000956196632275461	0.00107236588188007	0.00185969554075703	0.201175555658489	0.0343674468683962	0.00144039906910937	0.000227007264675411	0	0.000607584037552165	0.000622925967989579	0	0.000129605756569284	0.00119628792769234	0.000803219930206882	0.000203952021584799	0.00014719706908123	0	0.00200174715601287	0	0.000265975131325221	0	0	0	0.000860614299532547	0.000447360627079086	0.000144912053277399	0.000703705625862589	0.000184036784885117	0.000453833616996934	0.00237993200821195	0	0.000234092296974482	0.000289448680562195	0	0.000136581259976692	0	8.8816154379529e-05	0	0.00126774546523485	0	0	0.000812125576270774	0	0	0	0.00124793241863585	0.000308517996780306	0	0	0	0	0	0	0.00139423132432587	0.00112016527584524
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.0084930353865118	0.00114945051040827	0	0	0.0167675173758875	0	0.00190375038826488	0.000956196632275461	0.00107236588188007	0.00185969554075703	0.201175555658489	0.0343674468683962	0.00144039906910937	0.000227007264675411	0	0.000607584037552165	0.000622925967989579	0	0.000129605756569284	0.00119628792769234	0.000803219930206882	0.000203952021584799	0.00014719706908123	0	0.00200174715601287	0	0.000265975131325221	0	0	0	0.000860614299532547	0.000447360627079086	0.000144912053277399	0.000703705625862589	0.000184036784885117	0.000453833616996934	0.00237993200821195	0	0.000234092296974482	0.000289448680562195	0	0.000136581259976692	0	8.8816154379529e-05	0	0.00126774546523485	0	0	0.000812125576270774	0	0	0	0.00124793241863585	0.000308517996780306	0	0	0	0	0	0	0.00139423132432587	0.00112016527584524
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.00355296036226568	0.000321524618296021	0.000670527914077063	0.000405443155450555	0.00781422068681504	0	0.000651283027564302	0.00056246860722086	0.000545931721684398	0.00113748368026887	0.0758187079614519	0.0142183164977148	0.000253706654218127	0	0	0	0.000955153150917354	0	0.000745233100273382	0.000648369792871421	0.000858999092026804	0.000828168814920091	0.000415615253876413	0	0.000777377536315678	0.000176068950361651	0.000742513908282909	0	0.000191168802416665	0.000576060011627771	0.0976145249439492	0.00150641843812345	0.000161013392530444	0.00140741125172518	0.00128825749419582	0.00126651241952633	0.000210986880160634	0	0.00069447381435763	0.000205415192657042	0	0.00034600585860762	0	0	0	0.0009772204627852	0	0	0.00089542050717034	0	0	0	0.000298117188896341	0	0	0	0	0.000208228091385479	0	0	0.000501051882179611	8.32555272587679e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.00319604196970931	0	0	0.000405443155450555	0.00716900980441747	0	0.000651283027564302	0.000262485350036401	0.000263217080097835	0.000722211860488168	0.0719180670373901	0.0133471234994259	0	0	0	0	0.000764122520733883	0	0.000140406236283391	0.000410938601115689	0.000457389126923363	0.00016068947155166	0.000233783580305482	0	0.000563598713828866	0	0.000166234457078263	0	0	0	0.000495505202761164	0.000164336556886195	0	0.00096759523556106	0.000154978345166414	0.000242748213742546	0	0	0.000109243071921425	0	0	0.000154792094640251	0	0	0	0.000352151518120793	0	0	0.000520593318122291	0	0	0	0.000117860283982274	0	0	0	0	0	0	0	0.000210587022945054	8.32555272587679e-05
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.00319604196970931	0	0	0.000405443155450555	0.00716900980441747	0	0.000651283027564302	0.000262485350036401	0.000263217080097835	0.000722211860488168	0.0719180670373901	0.0133471234994259	0	0	0	0	0.000764122520733883	0	0.000140406236283391	0.000410938601115689	0.000457389126923363	0.00016068947155166	0.000233783580305482	0	0.000563598713828866	0	0.000166234457078263	0	0	0	0.000495505202761164	0.000164336556886195	0	0.00096759523556106	0.000154978345166414	0.000242748213742546	0	0	0.000109243071921425	0	0	0.000154792094640251	0	0	0	0.000352151518120793	0	0	0.000520593318122291	0	0	0	0.000117860283982274	0	0	0	0	0	0	0	0.000210587022945054	8.32555272587679e-05
