feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X291644	participant	M2041	7.85924813611726	0.484674198443932	96	17	3.63789148087974e-24	2.21759801521961e-22
X818	participant	H4018	6.93397366197418	0.4321661813304	96	47	6.23738264382285e-24	3.65011632316513e-22
X46506	participant	M2072	-6.49958376008116	0.411923695658356	96	91	1.45467701232117e-23	8.18535565009951e-22
X310297	participant	H4013	-3.53103763048453	0.232208921065478	96	16	9.25947627882525e-23	4.8380763556862e-21
X310297	participant	M2039	-3.53103763048454	0.232208921065478	96	16	9.25947627882499e-23	4.8380763556862e-21
X328812	participant	M2084	-6.50530150143746	0.429667645396547	96	27	1.14920763301101e-22	5.79755436929345e-21
X328812	participant	M2072	-6.50530150143745	0.460842524288324	96	27	3.52411349653646e-21	1.71859268181095e-19
X46506	participant	P6018	-7.70983561907701	0.550240284857447	96	91	5.03216059637844e-21	2.37485514596828e-19
X310297	participant	H4008	-3.53103763048456	0.258378234983985	96	16	1.65380249745059e-20	6.72086959380789e-19
X310297	participant	H4045	-3.53103763048454	0.258378234983985	96	16	1.65380249745102e-20	6.72086959380789e-19
X310297	participant	M2060	-3.53103763048454	0.258378234983985	96	16	1.65380249745102e-20	6.72086959380789e-19
X310297	participant	P6014	-3.53103763048454	0.258378234983985	96	16	1.653802497451e-20	6.72086959380789e-19
X310297	participant	P6018	-3.53103763048454	0.258378234983985	96	16	1.65380249745097e-20	6.72086959380789e-19
X28118	participant	M2072	-7.254527930325	0.538356740020814	96	65	3.21119462002725e-20	1.22208551241899e-18
X328812	participant	H4023	-6.50530150143748	0.482904744448946	96	27	3.25778092852636e-20	1.22208551241899e-18
X40545	participant	M2084	6.92497738440011	0.513535154923542	96	65	3.10546471790778e-20	1.22208551241899e-18
X1232428	participant	H4022	-4.4412920182984	0.332438502641848	96	15	4.81042176969395e-20	1.71649928025908e-18
X1232428	participant	M2041	-4.44129201829839	0.332438502641847	96	15	4.81042176969381e-20	1.71649928025908e-18
X487175	participant	M2072	-6.16589243689568	0.469747090654291	96	70	1.09506871011108e-19	3.81448934022026e-18
X40545	participant	H4023	7.43287354683877	0.577163687819757	96	65	2.63836031958858e-19	8.97656080827465e-18
X674529	participant	M2042	-3.2197118018395	0.250950682238553	96	25	3.13378307389666e-19	1.04198287207064e-17
X338188	participant	P6014	4.73013952350314	0.371438427916186	96	23	4.40877595748621e-19	1.43334205017829e-17
X328812	participant	H4016	-6.50530150143746	0.512197829200509	96	27	4.97858622189296e-19	1.54971737077221e-17
X328812	participant	M2061	-6.50530150143746	0.512197829200509	96	27	4.97858622189289e-19	1.54971737077221e-17
X674529	participant	M2072	-3.2197118018395	0.260718928334457	96	25	1.7706280850431e-18	5.39672685087095e-17
X28118	participant	H4016	-7.254527930325	0.598350063288876	96	65	4.02451007877495e-18	1.20160372351995e-16
X40545	participant	M2061	7.41258464959213	0.612174536267978	96	65	4.2612218916127e-18	1.24683352548588e-16
X2293024	participant	M2061	7.97439510120257	0.670146252727955	96	73	9.19167936593128e-18	2.63675037497205e-16
