clade_name	reERR5004402_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004807_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._5Mm6	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0.0696378830083565	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_sp._5Mm6|t__Unclassified_Halobacterium_sp._5Mm6	0	0	0	0	0	0	0	0	0	0.00375982253637628	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Unclassified_Halobacterium	0	0	0	0	0	0	0	0	0	0.541414445238185	0.418410041841004	0	1.21580547112462	1.06666666666667	0	0.38265306122449	0.557103064066852	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Unclassified_Halobacterium|t__	0	0	0	0	0	0	0	0	0	0.541414445238185	0	0	0	1.06666666666667	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__archaeon_RC36	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__archaeon_RC36|t__Unclassified_archaeon_RC36	0	0	0	0	0	0	0	0	0	0.0150392901455051	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum	0	0	0	0	0	0	0	0	0	0.0864759183366545	0	0.407055630936228	0	0	0	0	0.20891364902507	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum|s__Halobaculum_gomorrense	0	0	0	0	0	0	0	0	0	0.0112794676091288	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum|s__Halobaculum_gomorrense|t__Unclassified_Halobaculum_gomorrense	0	0	0	0	0	0	0	0	0	0.0112794676091288	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobaculum|s__Halobaculum_sp._MGY-184	0	0	0	0	0	0	0	0	0	0	0	0.271370420624152	0	0	0	0	0.0696378830083565	0	0	0
