clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus	2157|28890|183963|1644055|1644056|1073986	0	0	0	0.005196369166443487	0	0	0	0	0	0	0.03063702435734577	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_limi	2157|28890|183963|1644055|1644056|1073986|699433	0	0	0	0.005196369166443487	0	0	0	0	0	0	0.02451392162534512	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_limi|t__SGB262	2157|28890|183963|1644055|1644056|1073986|699433|SGB262	0	0	0	0.005196369166443487	0	0	0	0	0	0	0.02451392162534512	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_salinus	2157|28890|183963|1644055|1644056|1073986|931585	0	0	0	0	0	0	0	0	0	0	0.003284518017300713	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_salinus|t__SGB86011	2157|28890|183963|1644055|1644056|1073986|931585|SGB86011	0	0	0	0	0	0	0	0	0	0	0.003284518017300713	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_sp_MBLA0160	2157|28890|183963|1644055|1644056|1073986|2761102	0	0	0	0	0	0	0	0	0	0	0.002837757380186762	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus_sp_MBLA0160|t__SGB86012	2157|28890|183963|1644055|1644056|1073986|2761102|SGB86012	0	0	0	0	0	0	0	0	0	0	0.002837757380186762	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum	2157|28890|183963|1644055|1644056|695982	0	0	0	1.3834956616854075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum_gelatinilyticum	2157|28890|183963|1644055|1644056|695982|660521	0	0	0	1.3834956616854075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogranum|s__Halogranum_gelatinilyticum|t__SGB251	2157|28890|183963|1644055|1644056|695982|660521|SGB251	0	0	0	1.3834956616854075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus	2157|28890|183963|1644055|1644056|376170	0	0	0	0.062008094078026474	0.5894397801291302	0	0.3102711449410411	0	0	0	0.7573957901028205	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_aerogenes	2157|28890|183963|1644055|1644056|376170|660522	0	0	0	0	0	0	0	0	0	0	0.0011524769768513586	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_aerogenes|t__SGB33528	2157|28890|183963|1644055|1644056|376170|660522|SGB33528	0	0	0	0	0	0	0	0	0	0	0.0011524769768513586	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_natans	2157|28890|183963|1644055|1644056|376170|376171	0	0	0	0.0050659223818513895	0.0542785364568428	0	0	0	0	0	0.08421189809244023	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_natans|t__SGB33529	2157|28890|183963|1644055|1644056|376170|376171|SGB33529	0	0	0	0.0050659223818513895	0.0542785364568428	0	0	0	0	0	0.08421189809244023	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rallus	2157|28890|183963|1644055|1644056|376170|1816183	0	0	0	0	0	0	0	0	0	0	0.0009266146547548613	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus_rallus|t__SGB86008	2157|28890|183963|1644055|1644056|376170|1816183|SGB86008	0	0	0	0	0	0	0	0	0	0	0.0009266146547548613	0	0	0	0	0	0	0	0	0
