clade_name	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae|s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae|s__|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Unclassified_Archaeoglobaceae|s__|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.00746106257966239	0.00111464080699994	0	0.00228124304933758	0.0134492326858826	0.0144826476425468	0.00370569379852143	0.108813928182807	0.0152021891152326	0.0615268114913153	0.232600089242483	0.121982355110493	0.00402987480522272	0.00116796505448557	0.209139775083014	0	0.0148142922648231	0.31512138830944	0.0151474758246286	0.0034265350877193	0.0800345412230542	0.0800625429747473	0.00435246240560597	0.0307791997408067	0.0016158221302999	0.0177304964539007	0.0248060306216667	0.00858937861980956	0.00167278627646139	0.200332429358761	0.225006584640855	0.308247166258039	0.225258312521424	0.00327722004347779	0.00228560980069483	0	0.016324880672896	0	0.152946194625556	0.0100260007619761	0.139145066821991
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0.00746106257966239	0.00111464080699994	0	0.00228124304933758	0.0134492326858826	0.0144826476425468	0.00370569379852143	0.108813928182807	0.0152021891152326	0.0615268114913153	0.232600089242483	0.121982355110493	0.00402987480522272	0.00116796505448557	0.209139775083014	0	0.0148142922648231	0.31512138830944	0.0151474758246286	0.0034265350877193	0.0800345412230542	0.0800625429747473	0.00435246240560597	0.0307791997408067	0.0016158221302999	0.0177304964539007	0.0248060306216667	0.00858937861980956	0.00167278627646139	0.200332429358761	0.225006584640855	0.308247166258039	0.225258312521424	0.00327722004347779	0.00228560980069483	0	0.016324880672896	0	0.152946194625556	0.0100260007619761	0.139145066821991
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	0.00746106257966239	0.00111464080699994	0	0.00171093228700319	0.0134492326858826	0.0144826476425468	0.00370569379852143	0.108813928182807	0.0152021891152326	0.0615268114913153	0.230701313003769	0.121982355110493	0.00402987480522272	0.00116796505448557	0.209139775083014	0	0.0148142922648231	0.31512138830944	0.0151474758246286	0.0034265350877193	0.0800345412230542	0.0791206307044562	0.00435246240560597	0.0307791997408067	0.0016158221302999	0.0177304964539007	0.0241169742155093	0.00858937861980956	0.00167278627646139	0.200332429358761	0.225006584640855	0.308247166258039	0.224034082562068	0.00327722004347779	0.00228560980069483	0	0.016324880672896	0	0.152946194625556	0.0100260007619761	0.135909135035433
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus	0	0.000557320403499972	0	0	0.00212356305566567	0.000536394357131363	0	0	0.00228032836728489	0	0	0	0	0	0.000917279715276376	0	0	0.00110958235320225	0	0.00068530701754386	0	0.000941912270291145	0	0	0	0	0	0	0	0	0.00075253038341423	0.00621824254699215	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus|t__Unclassified_Haladaptatus_paucihalophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000888320363856021	0	0	0	0	0	0	0	0	0
