#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Bacteria|p__Bacteroidetes	2|976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.04645551138418079
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.04645551138418079
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.04645551138418079
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.04645551138418079
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	2|976|117743|200644|49546|237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019069742193388226
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_degerlachei	2|976|117743|200644|49546|237|229203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019069742193388226
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter	2|976|117743|200644|49546|252356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.027385769190792563
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter|s__Maribacter_arcticus	2|976|117743|200644|49546|252356|561365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019313583635960332
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter|s__Maribacter_orientalis	2|976|117743|200644|49546|252356|228957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343005914983117	0	0	0.008072185554832238
k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae|g__Aliifodinibius|s__Aliifodinibius_sp_WN023	2|1936987|1853221|1853223|1813606|1397107|2032627	0	0	0	0	0	0	0	0	0	0	0.001534065611230645	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2|1224|28211|356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2584606754641504	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified	2|1224|28211|356|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2584606754641504	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter	2|1224|28211|356||1484898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2584606754641504	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter|s__Methyloceanibacter_superfactus	2|1224|28211|356||1484898|1774969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2584606754641504	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16046805568218125	0.2850428195636733	0.1973450775328781	0.06605932956128248
