centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
1184396	1184396	1184396	1184396	1184396	1184396		1184396	1184396	1184396
1184606	1184606	1184606	1184606	1184606	1184606	1184606	1184606	1184606	1184606
	1185408				1185408		1185408	1185408	1185408
	1185872			1185872	1185872		1185872	1185872	1185872
1186	1186	1186	1186	1186	1186	1186	1186	1186	1186
	1187078		1187078	1187078	1187078			1187078	1187078
118747	118747	118747	118747	118747	118747	118747	118747	118747	118747
	1187887		1187887	1187887	1187887		1187887	1187887	1187887
	1188227	1188227		1188227	1188227		1188227	1188227	1188227
	118966				118966		118966	118966	118966
1190	1190	1190	1190	1190	1190	1190	1190	1190	1190
119044	119044	119044		119044	119044	119044	119044	119044	119044
	1191515				1191515				1191515
119164		119164	119164	119164					119164
1193324		1193324		1193324	1193324		1193324	1193324	1193324
1193503	1193503	1193503		1193503	1193503		1193503	1193503	1193503
1193515	1193515	1193515		1193515	1193515		1193515	1193515	1193515
119492		119492	119492	119492					119492
119541		119541		119541	119541	119541	119541	119541	119541
1195526	1195526	1195526			1195526		1195526	1195526	1195526
	1195766			1195766	1195766		1195766	1195766	1195766
1196844		1196844	1196844	1196844					1196844
	1197472				1197472	1197472		1197472	1197472
	1198			1198	1198	1198	1198	1198	1198
1198137		1198137	1198137	1198137					1198137
1198139		1198139	1198139	1198139					1198139
1198140		1198140	1198140	1198140					1198140
	1198243					1198243			1198243
			11985						11985
						119852			119852
1198976		1198976	1198976	1198976					1198976
1198980		1198980	1198980	1198980					1198980
		11990							11990
119977	119977	119977	119977	119977	119977	119977	119977	119977	119977
	119979				119979	119979	119979	119979	119979
	1200657					1200657			1200657
		12008							12008
120212	120212	120212		120212	120212	120212		120212	120212
		1203	1203	1203	1203	1203	1203	1203	1203
12036		12036	12036	12036					12036
	120376				120376	120376		120376	120376
1204360	1204360	1204360		1204360	1204360		1204360	1204360	1204360
	1205		1205	1205	1205	1205	1205	1205	1205
12050		12050	12050	12050					12050
12051		12051	12051	12051					12051
12057		12057	12057	12057					12057
