centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
				622450	622450	622450	622450	622450	622450
				622452	622452	622452	622452	622452	622452
641854	641854	641854	641854	641854	641854	641854	641854	641854	641854
649776	649776	649776	649776	649776	649776	649776	649776	649776	649776
651137		651137							651137
666505		666505							666505
	666506		666506		666506	666506	666506	666506	666506
			675063	675063					675063
	68295		68295	68295	68295	68295	68295	68295	68295
68336		68336							68336
			685948	685948	685948	685948	685948	685948	685948
			68933	68933	68933	68933	68933	68933	68933
68985	68985	68985	68985	68985	68985	68985	68985	68985	68985
693071		693071							693071
	693072		693072		693072		693072	693072	693072
	69541		69541	69541	69541	69541	69541	69541	69541
	717963		717963	717963	717963		717963	717963	717963
72273	72273	72273	72273	72273	72273	72273	72273	72273	72273
72274	72274	72274	72274	72274	72274	72274	72274	72274	72274
742030		742030	742030	742030	742030	742030	742030	742030	742030
766	766	766	766	766	766	766	766	766	766
			76804	76804					76804
	768507		768507	768507	768507	768507	768507	768507	768507
				768667	768667	768667	768667	768667	768667
	795748		795748	795748	795748	795748	795748	795748	795748
80840	80840	80840	80840	80840	80840	80840	80840	80840	80840
84992		84992							84992
	84993		84993	84993	84993	84993	84993	84993	84993
84995		84995							84995
	84996		84996	84996	84996	84996	84996	84996	84996
84998		84998							84998
	84999		84999	84999	84999	84999	84999	84999	84999
			85001	85001	85001	85001	85001	85001	85001
			85004	85004	85004	85004	85004	85004	85004
				85006	85006	85006	85006	85006	85006
	85007			85007	85007	85007	85007	85007	85007
				85008	85008	85008	85008	85008	85008
	85009			85009	85009	85009	85009	85009	85009
				85010	85010	85010	85010	85010	85010
	85011			85011	85011	85011	85011	85011	85011
	85012			85012	85012	85012	85012	85012	85012
				85013	85013	85013	85013	85013	85013
				85014	85014	85014	85014	85014	85014
			871006	871006	871006	871006	871006	871006	871006
908620		908620							908620
	908621				908621	908621		908621	908621
	909929		909929	909929	909929		909929	909929	909929
909932		909932							909932
91061		91061							91061
91347	91347	91347	91347	91347	91347	91347	91347	91347	91347
	94695		94695	94695	94695	94695	94695	94695	94695
95818		95818							95818
976		976							976
	o__0-14-0-10-38-17								o__0-14-0-10-38-17
	o__0-14-0-20-30-16								o__0-14-0-20-30-16
	o__0-14-0-20-40-13								o__0-14-0-20-40-13
	o__0-14-0-80-59-12								o__0-14-0-80-59-12
	o__02-12-full-59-9								o__02-12-full-59-9
	o__1-14-0-20-42-13								o__1-14-0-20-42-13
	o__1-14-0-20-64-10								o__1-14-0-20-64-10
	o__1-14-2-50-48-13								o__1-14-2-50-48-13
						o__11-24			o__11-24
	o__16-39-46								o__16-39-46
	o__2-01-full-39-13								o__2-01-full-39-13
	o__2-01-full-39-33								o__2-01-full-39-33
	o__2-01-full-45-10								o__2-01-full-45-10
	o__2-01-full-47-10								o__2-01-full-47-10
	o__2-01-full-59-12								o__2-01-full-59-12
	o__2-01-full-66-17								o__2-01-full-66-17
	o__2-02-full-35-15								o__2-02-full-35-15
	o__2-02-full-39-11								o__2-02-full-39-11
	o__2-02-full-39-32								o__2-02-full-39-32
	o__2-02-full-40-11								o__2-02-full-40-11
	o__2-02-full-40-12								o__2-02-full-40-12
	o__2-02-full-44-16								o__2-02-full-44-16
	o__2-02-full-49-11								o__2-02-full-49-11
	o__2-02-full-50-16								o__2-02-full-50-16
	o__2-02-full-51-18								o__2-02-full-51-18
	o__2-12-full-37-12								o__2-12-full-37-12
	o__2-12-full-45-22								o__2-12-full-45-22
	o__2-12-full-49-11								o__2-12-full-49-11
	o__2-12-full-50-11								o__2-12-full-50-11
	o__2-12-full-54-10								o__2-12-full-54-10
	o__2-12-full-62-27								o__2-12-full-62-27
	o__20cm-2-55-15								o__20cm-2-55-15
	o__21-64-14								o__21-64-14
	o__32-111								o__32-111
						o__34p16			o__34p16
						o__4-org1-14			o__4-org1-14
	o__40cm-2-53-6								o__40cm-2-53-6
	o__43-37								o__43-37
	o__4484-107								o__4484-107
	o__4484-113								o__4484-113
	o__4484-171								o__4484-171
	o__4484-211								o__4484-211
	o__4484-213								o__4484-213
	o__4484-49								o__4484-49
	o__4484-93								o__4484-93
	o__4572-55								o__4572-55
	o__4572-78								o__4572-78
	o__54-19								o__54-19
	o__9ft-combo-42-15								o__9ft-combo-42-15
	o__9ft-combo-53-11								o__9ft-combo-53-11
	o__aabm5-125-24								o__aabm5-125-24
	o__aabm5-25-91								o__aabm5-25-91
	o__ab16								o__ab16
					o__absconditabacteria_unclassified				o__absconditabacteria_unclassified
	o__ac-67								o__ac-67
	o__ac1								o__ac1
	o__acetivibrionales								o__acetivibrionales
	o__acetobacterales								o__acetobacterales
							o__acidimicrobiia order incertae sedis		o__acidimicrobiia order incertae sedis
							o__acidobacteria order incertae sedis		o__acidobacteria order incertae sedis
							o__acidobacteria subdivision 6 order incertae sedis		o__acidobacteria subdivision 6 order incertae sedis
			o__acidobacteria_noname						o__acidobacteria_noname
				o__acidobacteria_subdivision_6_unclassified					o__acidobacteria_subdivision_6_unclassified
				o__acidobacteria_unclassified	o__acidobacteria_unclassified				o__acidobacteria_unclassified
							o__acidobacteriia order incertae sedis		o__acidobacteriia order incertae sedis
				o__acidobacteriia_unclassified					o__acidobacteriia_unclassified
	o__aciduliprofundales								o__aciduliprofundales
							o__actinobacteria order incertae sedis		o__actinobacteria order incertae sedis
			o__actinobacteria_noname						o__actinobacteria_noname
				o__actinobacteria_unclassified	o__actinobacteria_unclassified			o__actinobacteria_unclassified	o__actinobacteria_unclassified
	o__adiutricales								o__adiutricales
					o__adlerbacteria_unclassified				o__adlerbacteria_unclassified
						o__adriatic90			o__adriatic90
				o__aenigmarchaeota_unclassified					o__aenigmarchaeota_unclassified
	o__aenigmatarchaeales								o__aenigmatarchaeales
	o__aerophobales								o__aerophobales
					o__aerophobetes_unclassified				o__aerophobetes_unclassified
	o__aks1								o__aks1
	o__akyh767								o__akyh767
	o__akyh767-a								o__akyh767-a
	o__alicyclobacillales								o__alicyclobacillales
						o__allobeggiatoa_halophila			o__allobeggiatoa_halophila
							o__alphaproteobacteria order incertae sedis		o__alphaproteobacteria order incertae sedis
			o__alphaproteobacteria_noname						o__alphaproteobacteria_noname
				o__alphaproteobacteria_unclassified	o__alphaproteobacteria_unclassified			o__alphaproteobacteria_unclassified	o__alphaproteobacteria_unclassified
	o__aminicenantales								o__aminicenantales
				o__aminicenantes_unclassified					o__aminicenantes_unclassified
	o__ammonifexales								o__ammonifexales
							o__anaerolineae order incertae sedis		o__anaerolineae order incertae sedis
								o__anaerolineae_unclassified	o__anaerolineae_unclassified
	o__anaeromusales								o__anaeromusales
	o__aneurinibacillales								o__aneurinibacillales
	o__anme-1								o__anme-1
	o__aqs2								o__aqs2
	o__aqs3								o__aqs3
						o__aquamonas_haywardensis			o__aquamonas_haywardensis
							o__aquificae order incertae sedis		o__aquificae order incertae sedis
							o__archaea order incertae sedis		o__archaea order incertae sedis
			o__archaea_noname						o__archaea_noname
				o__archaea_unclassified	o__archaea_unclassified			o__archaea_unclassified	o__archaea_unclassified
							o__archaeoglobi order incertae sedis		o__archaeoglobi order incertae sedis
				o__ardenticatenia_unclassified					o__ardenticatenia_unclassified
	o__ark-15								o__ark-15
							o__armatimonadetes order incertae sedis		o__armatimonadetes order incertae sedis
				o__armatimonadetes_unclassified	o__armatimonadetes_unclassified			o__armatimonadetes_unclassified	o__armatimonadetes_unclassified
	o__ars1246								o__ars1246
	o__ars69								o__ars69
	o__atcc43930								o__atcc43930
	o__atn3								o__atn3
					o__atribacteria_unclassified				o__atribacteria_unclassified
	o__azospirillales								o__azospirillales
	o__b11-g9								o__b11-g9
	o__b119-g9								o__b119-g9
	o__b129-g9								o__b129-g9
	o__b13-g15								o__b13-g15
	o__b130-g9								o__b130-g9
	o__b142								o__b142
	o__b143-g9								o__b143-g9
	o__b15-g4								o__b15-g4
	o__b1sed10-174								o__b1sed10-174
	o__b1sed10-29								o__b1sed10-29
	o__b21-g15								o__b21-g15
	o__b21-g16								o__b21-g16
	o__b21-g9								o__b21-g9
	o__b22-g15								o__b22-g15
	o__b24								o__b24
	o__b25								o__b25
	o__b26-1								o__b26-1
	o__b26-g2								o__b26-g2
	o__b26-g9								o__b26-g9
	o__b28-g17								o__b28-g17
	o__b29-g17								o__b29-g17
	o__b3-b38								o__b3-b38
	o__b3-g13								o__b3-g13
	o__b3-lcp								o__b3-lcp
	o__b3-ta06								o__b3-ta06
	o__b31-g17								o__b31-g17
	o__b33-g15								o__b33-g15
	o__b4-g1								o__b4-g1
	o__b47-g6b								o__b47-g6b
	o__b48-g9								o__b48-g9
	o__b62-g9								o__b62-g9
	o__b64-g9								o__b64-g9
	o__b68-g9								o__b68-g9
	o__b70-g9								o__b70-g9
	o__b87-g9								o__b87-g9
	o__b88-g9								o__b88-g9
	o__bac17								o__bac17
					o__bacilli_unclassified			o__bacilli_unclassified	o__bacilli_unclassified
							o__bacteria order incertae sedis		o__bacteria order incertae sedis
			o__bacteria_noname						o__bacteria_noname
				o__bacteria_unclassified	o__bacteria_unclassified			o__bacteria_unclassified	o__bacteria_unclassified
						o__bacterium_099618			o__bacterium_099618
						o__bacterium_ellin5102			o__bacterium_ellin5102
						o__bacterium_ellin515			o__bacterium_ellin515
						o__bacterium_ellin516			o__bacterium_ellin516
						o__bacterium_ellin517			o__bacterium_ellin517
						o__bacterium_ellin6519			o__bacterium_ellin6519
						o__bacterium_ellin6529			o__bacterium_ellin6529
						o__bacterium_ellin6543			o__bacterium_ellin6543
						o__bacterium_rs28g			o__bacterium_rs28g
							o__bacteroidetes order incertae sedis		o__bacteroidetes order incertae sedis
			o__bacteroidetes_noname						o__bacteroidetes_noname
				o__bacteroidetes_order_iincertae_sedis					o__bacteroidetes_order_iincertae_sedis
				o__bacteroidetes_unclassified	o__bacteroidetes_unclassified			o__bacteroidetes_unclassified	o__bacteroidetes_unclassified
							o__bacteroidia order incertae sedis		o__bacteroidia order incertae sedis
