centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(117747/1236)		(117747/1236)
							(117747/1853228)		(117747/1853228)
							(1236/1760)		(1236/1760)
							(1236/28211)		(1236/28211)
							(1236/28216)		(1236/28216)
							(1737404/186801)		(1737404/186801)
							(1760/768503)		(1760/768503)
							(1760/91061)		(1760/91061)
							(1807140/28216)		(1807140/28216)
							(183967/224756)		(183967/224756)
							(186801/526524)		(186801/526524)
							(186801/909932)		(186801/909932)
							(186801/91061)		(186801/91061)
							(200643/204429)		(200643/204429)
							(2008785/28216)		(2008785/28216)
							(28211/91061)		(28211/91061)
							(909932/91061)		(909932/91061)
							c__candidatus niyogibacteria class incertae sedis		c__candidatus niyogibacteria class incertae sedis
							c__candidatus nomurabacteria class incertae sedis		c__candidatus nomurabacteria class incertae sedis
							c__candidatus odinarchaeota class incertae sedis		c__candidatus odinarchaeota class incertae sedis
							c__candidatus omnitrophica class incertae sedis		c__candidatus omnitrophica class incertae sedis
							c__candidatus pacebacteria class incertae sedis		c__candidatus pacebacteria class incertae sedis
							c__candidatus parcubacteria class incertae sedis		c__candidatus parcubacteria class incertae sedis
							c__candidatus peregrinibacteria class incertae sedis		c__candidatus peregrinibacteria class incertae sedis
							c__candidatus poribacteria class incertae sedis		c__candidatus poribacteria class incertae sedis
							c__candidatus portnoybacteria class incertae sedis		c__candidatus portnoybacteria class incertae sedis
							c__candidatus riflebacteria class incertae sedis		c__candidatus riflebacteria class incertae sedis
							c__candidatus roizmanbacteria class incertae sedis		c__candidatus roizmanbacteria class incertae sedis
							c__candidatus rokubacteria class incertae sedis		c__candidatus rokubacteria class incertae sedis
							c__candidatus ryanbacteria class incertae sedis		c__candidatus ryanbacteria class incertae sedis
							c__candidatus saccharibacteria class incertae sedis		c__candidatus saccharibacteria class incertae sedis
							c__candidatus shapirobacteria class incertae sedis		c__candidatus shapirobacteria class incertae sedis
