centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	2844877								2844877
2844881		2844881							2844881
2845253	2845253	2845253							2845253
2847776	2847776	2847776							2847776
	2848916								2848916
2854170		2854170							2854170
2856053		2856053							2856053
2856582		2856582							2856582
	2856854								2856854
	2864377								2864377
	2867375								2867375
	2873895								2873895
	2880999								2880999
	2881378								2881378
	2881426		2881426						2881426
2885734		2885734							2885734
	2885735								2885735
	2885739								2885739
	2885742								2885742
	2885745								2885745
	2885749								2885749
	2885754								2885754
	2885757								2885757
	2886822								2886822
2887365		2887365							2887365
		28883							28883
	2895623								2895623
	2896860								2896860
	2897346								2897346
2897347		2897347							2897347
2898533	2898533	2898533							2898533
29		29							29
	2900654								2900654
	2900655								2900655
	2900659								2900659
	2900660								2900660
	2900661								2900661
	2900662								2900662
	2900672								2900672
	2904715								2904715
2905377		2905377							2905377
2907185		2907185							2907185
2914038		2914038							2914038
			291484	291484					291484
	292628		292628	292628	292628	292628	292628	292628	292628
292629		292629							292629
					292630	292630	292630	292630	292630
292638		292638	292638	292638					292638
	2931039								2931039
	2932623								2932623
	2937909								2937909
	2937910								2937910
	2937911								2937911
2942676									2942676
2942677									2942677
2942679									2942679
2942680									2942680
2942681									2942681
2945019									2945019
	2945020								2945020
2945021	2945021								2945021
2945022	2945022								2945022
	2945042		2945042	2945042	2945042	2945042			2945042
