centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
							(136160/86665)		(136160/86665)
							(1365176/1483572)		(1365176/1483572)
							(13689/538379)		(13689/538379)
							(13689/550)		(13689/550)
							(136996/358/648995)		(136996/358/648995)
							(1370119/1743230/1834132)		(1370119/1743230/1834132)
							(1374/1598147)		(1374/1598147)
							(137779/1872678/228/394751/77608)		(137779/1872678/228/394751/77608)
							(137779/43662/81037)		(137779/43662/81037)
							(1378299/1935446/56192)		(1378299/1935446/56192)
							(1379/45972)		(1379/45972)
							(1379698/1802788)		(1379698/1802788)
							(1380412/1535287)		(1380412/1535287)
							(1381080/519452)		(1381080/519452)
							(1382345/1775430)		(1382345/1775430)
							(1382803/686831)		(1382803/686831)
							(1384081/671229)		(1384081/671229)
							(1385588/1385589/1637831/1637836/1637837/1637838/1637839/1637840/1637841/1637842/1820025)		(1385588/1385589/1637831/1637836/1637837/1637838/1637839/1637840/1637841/1637842/1820025)
							(1387231/1981695/1981713/658630)		(1387231/1981695/1981713/658630)
							(1389192/367825/876364)		(1389192/367825/876364)
							(1390/1423/492670/659243/72361/78058)		(1390/1423/492670/659243/72361/78058)
							(1392494/1410623/1410625/1520821)		(1392494/1410623/1410625/1520821)
							(1394710/1619106/1619109/1619113/1619121/1619124/1619128/1619130/1619134/1619136/1619140/1619143/1802639)		(1394710/1619106/1619109/1619113/1619121/1619124/1619128/1619130/1619134/1619136/1619140/1619143/1802639)
							(1396/1405/1428)		(1396/1405/1428)
							(1396/1405/1428/64104)		(1396/1405/1428/64104)
							(1402860/189382)		(1402860/189382)
							(1404/412384/86664)		(1404/412384/86664)
							(1405396/83554)		(1405396/83554)
							(1406/59893)		(1406/59893)
							(1406431/1707785)		(1406431/1707785)
							(1408303/1579338)		(1408303/1579338)
							(1408309/1761885)		(1408309/1761885)
							(1408311/1855342/689781)		(1408311/1855342/689781)
							(1408324/877421)		(1408324/877421)
							(141/142)		(141/142)
							(1410573/1410575/1410576)		(1410573/1410575/1410576)
							(1410607/1410608/1855373)		(1410607/1410608/1855373)
							(1410613/1410614)		(1410613/1410614)
							(1410620/1692240/1692241)		(1410620/1692240/1692241)
