Taxa	TaxID
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JACRMX01|g__JAGVVW01|s__JAGVVW01_sp018304635	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jacrmx01|g__jagvvw01|s__jagvvw01_sp018304635
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__JAHLMP01|g__JAHLMP01|s__JAHLMP01_sp018920315	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__jahlmp01|g__jahlmp01|s__jahlmp01_sp018920315
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__SpSt-1120|g__SpSt-1120|s__SpSt-1120_sp011373045	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__spst-1120|g__spst-1120|s__spst-1120_sp011373045
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__WALA01|g__WALA01|s__WALA01_sp015522745	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__wala01|g__wala01|s__wala01_sp015522745
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5|f__WALA01|g__WALA01|s__WALA01_sp015523085	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__gw2011-ar5|f__wala01|g__wala01|s__wala01_sp015523085
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__JACPZZ01|f__JACPZZ01|g__JACPZZ01|s__JACPZZ01_sp016177205	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__jacpzz01|f__jacpzz01|g__jacpzz01|s__jacpzz01_sp016177205
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__JACPZZ01|f__JACPZZ01|g__JACPZZ01|s__JACPZZ01_sp016180965	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__jacpzz01|f__jacpzz01|g__jacpzz01|s__jacpzz01_sp016180965
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__JACPZZ01|f__JACPZZ01|g__JACPZZ01|s__JACPZZ01_sp016195275	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__jacpzz01|f__jacpzz01|g__jacpzz01|s__jacpzz01_sp016195275
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__JACPZZ01|f__JACPZZ01|g__JACPZZ01|s__JACPZZ01_sp016202795	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__jacpzz01|f__jacpzz01|g__jacpzz01|s__jacpzz01_sp016202795
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__JACPZZ01|f__JACPZZ01|g__JACPZZ01|s__JACPZZ01_sp016202815	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__jacpzz01|f__jacpzz01|g__jacpzz01|s__jacpzz01_sp016202815
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__B50-G16|g__B50-G16|s__B50-G16_sp003663345	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__b50-g16|g__b50-g16|s__b50-g16_sp003663345
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__JACQIF01|g__JACQIF01|s__JACQIF01_sp016198635	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__jacqif01|g__jacqif01|s__jacqif01_sp016198635
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__JACQIF01|g__JACQIF01|s__JACQIF01_sp016432325	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__jacqif01|g__jacqif01|s__jacqif01_sp016432325
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__JACRMZ01|g__JACRMZ01|s__JACRMZ01_sp016219455	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__jacrmz01|g__jacrmz01|s__jacrmz01_sp016219455
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__PWEA01|g__PWEA01|s__PWEA01_sp003550625	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__pwea01|g__pwea01|s__pwea01_sp003550625
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__PWEA01|g__PWEA01|s__PWEA01_sp003553905	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__pwea01|g__pwea01|s__pwea01_sp003553905
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__PWEA01|g__PWEA01|s__PWEA01_sp003554235	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__pwea01|g__pwea01|s__pwea01_sp003554235
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__PWEA01|g__PWEA01|s__PWEA01_sp003554845	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__pwea01|g__pwea01|s__pwea01_sp003554845
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__PWEA01|f__PWEA01|g__PWEA01|s__PWEA01_sp003555465	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__pwea01|f__pwea01|g__pwea01|s__pwea01_sp003555465
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__JACQNV01|g__JACQNV01|s__JACQNV01_sp016202865	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__jacqnv01|g__jacqnv01|s__jacqnv01_sp016202865
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__JAFGSV01|g__JAFGFG01|s__JAFGFG01_sp016931255	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__jafgsv01|g__jafgfg01|s__jafgfg01_sp016931255
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__JAFGSV01|g__JAFGSV01|s__JAFGSV01_sp016934325	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__jafgsv01|g__jafgsv01|s__jafgsv01_sp016934325
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__BS750m-G24|s__BS750m-G24_sp016783545	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__qmzp01|g__bs750m-g24|s__bs750m-g24_sp016783545
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__BS750m-G81|s__BS750m-G81_sp016782405	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__qmzp01|g__bs750m-g81|s__bs750m-g81_sp016782405
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__JACPNN01|s__JACPNN01_sp016185435	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__qmzp01|g__jacpnn01|s__jacpnn01_sp016185435
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__JACQIG01|s__JACQIG01_sp016198605	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__qmzp01|g__jacqig01|s__jacqig01_sp016198605
k__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZP01|f__QMZP01|g__JACQIG01|s__JACQIG01_sp016202745	2157|p__aenigmatarchaeota|c__aenigmatarchaeia|o__qmzp01|f__qmzp01|g__jacqig01|s__jacqig01_sp016202745
