Taxa	TaxID
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__elizabethkingia|s__elizabethkingia_meningoseptica	2|976|117743|200644|2762318|308865|238
k__bacteria|p__actinobacteria|c__actinomycetia|o__streptomycetales|f__streptomycetaceae|g__streptomyces|s__streptomyces_dangxiongensis	2|201174|1760|85011|2062|1883|1442032
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__chryseobacterium|s__chryseobacterium_balustinum	2|976|117743|200644|2762318|59732|246
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__empedobacter|s__empedobacter_brevis	2|976|117743|200644|2762318|59734|247
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__polynucleobacter|s__polynucleobacter_duraquae	2|1224|28216|80840|119060|44013|1835254
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__chryseobacterium|s__chryseobacterium_gleum	2|976|117743|200644|2762318|59732|250
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__chryseobacterium|s__chryseobacterium_indologenes	2|976|117743|200644|2762318|59732|253
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__weeksellaceae|g__chryseobacterium|s__chryseobacterium_indoltheticum	2|976|117743|200644|2762318|59732|254
k__bacteria|p__bacteroidota|c__flavobacteriia|o__flavobacteriales|f__flavobacteriaceae|g__myroides|s__myroides_odoratus	2|976|117743|200644|49546|76831|256
k__bacteria|p__bacteroidota|c__sphingobacteriia|o__sphingobacteriales|f__sphingobacteriaceae|g__sphingobacterium|s__sphingobacterium_spiritivorum	2|976|117747|200666|84566|28453|258
k__bacteria|p__bacteroidota|c__sphingobacteriia|o__sphingobacteriales|f__sphingobacteriaceae|g__sphingobacterium|s__sphingobacterium_thalpophilum	2|976|117747|200666|84566|28453|259
k__bacteria|p__firmicutes|c__bacilli|o__bacillales|f__alicyclobacillaceae|g__alicyclobacillus|s__alicyclobacillus_acidocaldarius	2|1239|91061|1385|186823|29330|405212|1048834
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__thiotrichales|f__francisellaceae|g__francisella|s__francisella_tularensis	2|1224|1236|72273|34064|262|263
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__thiotrichales|f__francisellaceae|g__francisella|s__francisella_tularensis	2|1224|1236|72273|34064|262|263|264
k__bacteria|p__firmicutes|c__bacilli|o__lactobacillales|f__streptococcaceae|g__streptococcus|s__streptococcus_periodonticum	2|1239|91061|186826|1300|1301|2490633
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__rhodobacterales|f__rhodobacteraceae|g__paracoccus|s__paracoccus_denitrificans	2|1224|28211|204455|31989|265|266
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__alteromonadales|f__pseudoalteromonadaceae|g__pseudoalteromonas|s__pseudoalteromonas_sp._xi13	2|1224|1236|135622|267888|53246|2490635
k__bacteria|p__deinococcus-thermus|c__deinococci|o__thermales|f__thermaceae|g__thermus|s__thermus_thermophilus	2|1297|188787|68933|188786|270|274
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__phenuiviridae|g__phlebovirus|s__munguba_phlebovirus	10239|2732396|2497569|2497576|1980410|1980418|11584|2734462|1048854
k__viruses|k__orthornavirae|p__negarnaviricota|c__ellioviricetes|o__bunyavirales|f__phenuiviridae|g__phlebovirus|s__odrenisrou_phlebovirus	10239|2732396|2497569|2497576|1980410|1980418|11584|2734465|1048855
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__comamonadaceae|g__comamonas|s__comamonas_testosteroni	2|1224|28216|80840|80864|283|285
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__pseudomonadales|f__pseudomonadaceae|g__pseudomonas|s__pseudomonas_aeruginosa	2|1224|1236|72274|135621|286|287
k__bacteria|p__proteobacteria|c__gammaproteobacteria|o__alteromonadales|f__pseudoalteromonadaceae|g__pseudoalteromonas|s__pseudoalteromonas_atlantica	2|1224|1236|135622|267888|53246|288
k__bacteria|p__proteobacteria|c__betaproteobacteria|o__burkholderiales|f__burkholderiaceae|g__burkholderia|s__burkholderia_cepacia	2|1224|28216|80840|119060|32008|292
k__bacteria|p__proteobacteria|c__alphaproteobacteria|o__caulobacterales|f__caulobacteraceae|g__brevundimonas|s__brevundimonas_diminuta	2|1224|28211|204458|76892|41275|293
