Taxa	TaxID
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76	2157|1801631|c__cfgb76|o__ofgb76|f__fgb76
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76|g__GGB110	2157|1801631|c__cfgb76|o__ofgb76|f__fgb76|g__ggb110
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76|g__GGB110|s__GGB110_SGB130|t__SGB130	2157|1801631|c__cfgb76|o__ofgb76|f__fgb76|g__ggb110|s__ggb110_sgb130
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeota_unclassified|o__Candidatus_Micrarchaeota_unclassified|f__Candidatus_Micrarchaeota_unclassified	2157|1801631|c__candidatus_micrarchaeota_unclassified|o__candidatus_micrarchaeota_unclassified|f__candidatus_micrarchaeota_unclassified
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeota_unclassified|o__Candidatus_Micrarchaeota_unclassified|f__Candidatus_Micrarchaeota_unclassified|g__Candidatus_Mancarchaeum	2157|1801631|c__candidatus_micrarchaeota_unclassified|o__candidatus_micrarchaeota_unclassified|f__candidatus_micrarchaeota_unclassified|2490204
k__Archaea|p__Candidatus_Micrarchaeota|c__Candidatus_Micrarchaeota_unclassified|o__Candidatus_Micrarchaeota_unclassified|f__Candidatus_Micrarchaeota_unclassified|g__Candidatus_Mancarchaeum|s__Candidatus_Mancarchaeum_acidiphilum|t__SGB131	2157|1801631|c__candidatus_micrarchaeota_unclassified|o__candidatus_micrarchaeota_unclassified|f__candidatus_micrarchaeota_unclassified|2490204|1920749
k__Archaea|p__Crenarchaeota|c__CFGB11111|o__OFGB11111|f__FGB11111	2157|28889|c__cfgb11111|o__ofgb11111|f__fgb11111
k__Archaea|p__Crenarchaeota|c__CFGB11111|o__OFGB11111|f__FGB11111|g__GGB33065	2157|28889|c__cfgb11111|o__ofgb11111|f__fgb11111|g__ggb33065
k__Archaea|p__Crenarchaeota|c__CFGB11111|o__OFGB11111|f__FGB11111|g__GGB33065|s__GGB33065_SGB46296|t__SGB46296	2157|28889|c__cfgb11111|o__ofgb11111|f__fgb11111|g__ggb33065|s__ggb33065_sgb46296
k__Archaea|p__Crenarchaeota|c__CFGB11366|o__OFGB11366|f__FGB11366	2157|28889|c__cfgb11366|o__ofgb11366|f__fgb11366
k__Archaea|p__Crenarchaeota|c__CFGB11366|o__OFGB11366|f__FGB11366|g__GGB33418	2157|28889|c__cfgb11366|o__ofgb11366|f__fgb11366|g__ggb33418
k__Archaea|p__Crenarchaeota|c__CFGB11366|o__OFGB11366|f__FGB11366|g__GGB33418|s__GGB33418_SGB46208|t__SGB46208	2157|28889|c__cfgb11366|o__ofgb11366|f__fgb11366|g__ggb33418|s__ggb33418_sgb46208
k__Archaea|p__Crenarchaeota|c__CFGB11764|o__OFGB11764|f__FGB11764|g__GGB34278|s__GGB34278_SGB46222|t__SGB46222	2157|28889|c__cfgb11764|o__ofgb11764|f__fgb11764|g__ggb34278|s__ggb34278_sgb46222
k__Archaea|p__Crenarchaeota|c__CFGB11981|o__OFGB11981|f__FGB11981|g__GGB34646	2157|28889|c__cfgb11981|o__ofgb11981|f__fgb11981|g__ggb34646
k__Archaea|p__Crenarchaeota|c__CFGB11981|o__OFGB11981|f__FGB11981|g__GGB34646|s__GGB34646_SGB46072|t__SGB46072	2157|28889|c__cfgb11981|o__ofgb11981|f__fgb11981|g__ggb34646|s__ggb34646_sgb46072
k__Archaea|p__Crenarchaeota|c__CFGB12525|o__OFGB12525|f__FGB12525|g__GGB35525	2157|28889|c__cfgb12525|o__ofgb12525|f__fgb12525|g__ggb35525
k__Archaea|p__Crenarchaeota|c__CFGB12525|o__OFGB12525|f__FGB12525|g__GGB35525|s__GGB35525_SGB46119|t__SGB46119	2157|28889|c__cfgb12525|o__ofgb12525|f__fgb12525|g__ggb35525|s__ggb35525_sgb46119
k__Archaea|p__Crenarchaeota|c__CFGB12996|o__OFGB12996|f__FGB12996|g__GGB36527|s__GGB36527_SGB46274|t__SGB46274	2157|28889|c__cfgb12996|o__ofgb12996|f__fgb12996|g__ggb36527|s__ggb36527_sgb46274
k__Archaea|p__Crenarchaeota|c__CFGB13036|o__OFGB13036|f__FGB13036	2157|28889|c__cfgb13036|o__ofgb13036|f__fgb13036
k__Archaea|p__Crenarchaeota|c__CFGB13036|o__OFGB13036|f__FGB13036|g__GGB36595	2157|28889|c__cfgb13036|o__ofgb13036|f__fgb13036|g__ggb36595
k__Archaea|p__Crenarchaeota|c__CFGB13036|o__OFGB13036|f__FGB13036|g__GGB36595|s__GGB36595_SGB46574|t__SGB46574	2157|28889|c__cfgb13036|o__ofgb13036|f__fgb13036|g__ggb36595|s__ggb36595_sgb46574
k__Archaea|p__Crenarchaeota|c__CFGB13431|o__OFGB13431|f__FGB13431	2157|28889|c__cfgb13431|o__ofgb13431|f__fgb13431
k__Archaea|p__Crenarchaeota|c__CFGB13431|o__OFGB13431|f__FGB13431|g__GGB37255	2157|28889|c__cfgb13431|o__ofgb13431|f__fgb13431|g__ggb37255
k__Archaea|p__Crenarchaeota|c__CFGB13431|o__OFGB13431|f__FGB13431|g__GGB37255|s__GGB37255_SGB46256|t__SGB46256	2157|28889|c__cfgb13431|o__ofgb13431|f__fgb13431|g__ggb37255|s__ggb37255_sgb46256
k__Archaea|p__Crenarchaeota|c__CFGB13479|o__OFGB13479|f__FGB13479|g__GGB37333	2157|28889|c__cfgb13479|o__ofgb13479|f__fgb13479|g__ggb37333
k__Archaea|p__Crenarchaeota|c__CFGB13479|o__OFGB13479|f__FGB13479|g__GGB37333|s__GGB37333_SGB46140|t__SGB46140	2157|28889|c__cfgb13479|o__ofgb13479|f__fgb13479|g__ggb37333|s__ggb37333_sgb46140
k__Archaea|p__Crenarchaeota|c__CFGB13668|o__OFGB13668|f__FGB13668	2157|28889|c__cfgb13668|o__ofgb13668|f__fgb13668
k__Archaea|p__Crenarchaeota|c__CFGB13668|o__OFGB13668|f__FGB13668|g__GGB37619	2157|28889|c__cfgb13668|o__ofgb13668|f__fgb13668|g__ggb37619
k__Archaea|p__Crenarchaeota|c__CFGB13668|o__OFGB13668|f__FGB13668|g__GGB37619|s__GGB37619_SGB46288|t__SGB46288	2157|28889|c__cfgb13668|o__ofgb13668|f__fgb13668|g__ggb37619|s__ggb37619_sgb46288
k__Archaea|p__Crenarchaeota|c__CFGB13991|o__OFGB13991|f__FGB13991|g__GGB38411	2157|28889|c__cfgb13991|o__ofgb13991|f__fgb13991|g__ggb38411
k__Archaea|p__Crenarchaeota|c__CFGB13991|o__OFGB13991|f__FGB13991|g__GGB38411|s__GGB38411_SGB46309|t__SGB46309	2157|28889|c__cfgb13991|o__ofgb13991|f__fgb13991|g__ggb38411|s__ggb38411_sgb46309
k__Archaea|p__Crenarchaeota|c__CFGB14886|o__OFGB14886|f__FGB14886	2157|28889|c__cfgb14886|o__ofgb14886|f__fgb14886
k__Archaea|p__Crenarchaeota|c__CFGB14886|o__OFGB14886|f__FGB14886|g__GGB40984	2157|28889|c__cfgb14886|o__ofgb14886|f__fgb14886|g__ggb40984
k__Archaea|p__Crenarchaeota|c__CFGB14886|o__OFGB14886|f__FGB14886|g__GGB40984|s__GGB40984_SGB46278|t__SGB46278	2157|28889|c__cfgb14886|o__ofgb14886|f__fgb14886|g__ggb40984|s__ggb40984_sgb46278
k__Archaea|p__Crenarchaeota|c__CFGB15052|o__OFGB15052|f__FGB15052	2157|28889|c__cfgb15052|o__ofgb15052|f__fgb15052
k__Archaea|p__Crenarchaeota|c__CFGB15052|o__OFGB15052|f__FGB15052|g__GGB41263	2157|28889|c__cfgb15052|o__ofgb15052|f__fgb15052|g__ggb41263
k__Archaea|p__Crenarchaeota|c__CFGB15052|o__OFGB15052|f__FGB15052|g__GGB41263|s__GGB41263_SGB58302|t__SGB58302	2157|28889|c__cfgb15052|o__ofgb15052|f__fgb15052|g__ggb41263|s__ggb41263_sgb58302
k__Archaea|p__Crenarchaeota|c__CFGB17036|o__OFGB17036|f__FGB17036	2157|28889|c__cfgb17036|o__ofgb17036|f__fgb17036
k__Archaea|p__Crenarchaeota|c__CFGB17036|o__OFGB17036|f__FGB17036|g__GGB41594	2157|28889|c__cfgb17036|o__ofgb17036|f__fgb17036|g__ggb41594
k__Archaea|p__Crenarchaeota|c__CFGB17036|o__OFGB17036|f__FGB17036|g__GGB41594|s__GGB41594_SGB58671|t__SGB58671	2157|28889|c__cfgb17036|o__ofgb17036|f__fgb17036|g__ggb41594|s__ggb41594_sgb58671
k__Archaea|p__Crenarchaeota|c__CFGB239|o__OFGB239|f__FGB239	2157|28889|c__cfgb239|o__ofgb239|f__fgb239
k__Archaea|p__Crenarchaeota|c__CFGB239|o__OFGB239|f__FGB239|g__GGB586	2157|28889|c__cfgb239|o__ofgb239|f__fgb239|g__ggb586
k__Archaea|p__Crenarchaeota|c__CFGB239|o__OFGB239|f__FGB239|g__GGB586|s__GGB586_SGB772|t__SGB772	2157|28889|c__cfgb239|o__ofgb239|f__fgb239|g__ggb586|s__ggb586_sgb772
k__Archaea|p__Crenarchaeota|c__CFGB268|o__OFGB268|f__FGB268	2157|28889|c__cfgb268|o__ofgb268|f__fgb268
k__Archaea|p__Crenarchaeota|c__CFGB268|o__OFGB268|f__FGB268|g__GGB646	2157|28889|c__cfgb268|o__ofgb268|f__fgb268|g__ggb646
k__Archaea|p__Crenarchaeota|c__CFGB268|o__OFGB268|f__FGB268|g__GGB646|s__GGB646_SGB58587|t__SGB58587	2157|28889|c__cfgb268|o__ofgb268|f__fgb268|g__ggb646|s__ggb646_sgb58587
k__Archaea|p__Crenarchaeota|c__CFGB27208|o__OFGB27208|f__FGB27208	2157|28889|c__cfgb27208|o__ofgb27208|f__fgb27208
k__Archaea|p__Crenarchaeota|c__CFGB27208|o__OFGB27208|f__FGB27208|g__GGB41615	2157|28889|c__cfgb27208|o__ofgb27208|f__fgb27208|g__ggb41615
k__Archaea|p__Crenarchaeota|c__CFGB27208|o__OFGB27208|f__FGB27208|g__GGB41615|s__GGB41615_SGB58695|t__SGB58695	2157|28889|c__cfgb27208|o__ofgb27208|f__fgb27208|g__ggb41615|s__ggb41615_sgb58695
k__Archaea|p__Crenarchaeota|c__CFGB275|o__OFGB275|f__FGB275	2157|28889|c__cfgb275|o__ofgb275|f__fgb275
k__Archaea|p__Crenarchaeota|c__CFGB275|o__OFGB275|f__FGB275|g__GGB655	2157|28889|c__cfgb275|o__ofgb275|f__fgb275|g__ggb655
