Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
k__archaea|p__candidatus_thermoplasmatota	0.0013453983847672	0.00125735414448879	0.00175259992241532	0.00248036102019573	0.00187015256272752	0.00305810469571135	0.00264612336855988	0.00215319810075456	0.00267082457203656	0.00127172412033637	0.00121135220829929	0.00116233825736982	0.000807878430453785	0.00157257854962363	0.00205546499101276	0.0036241523555027
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.00131258379001678	0.00124007092600784	0.0015770264060374	0.00224007253747872	0.00171278160343733	0.00265775875644881	0.00218227350748291	0.00191843714939461	0.00227395505731627	0.00121727721610179	0.0011888677125536	0.00105084866941802	0.000792777899043434	0.00154220686089699	0.00188066954295813	0.00331976402013822
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.000721921084509231	0.000691328739237821	0.000658400686417203	0.00108803523248966	0.000845411432465863	0.00121449482414939	0.000961943671629414	0.00118480917639476	0.00149094223097623	0.000676697238344123	0.000267003386980122	0.00049814496744421	0.000571303438358284	0.000853781916426562	0.000992935253532543	0.00125525703254534
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.00038557148831743	0.000254927472593946	0.000188114481833487	0.000349204290303699	0.000442834559863071	0.000386888932900776	0.000164993574745498	0.000652928895969866	0.000691840099985375	0.000264456391996554	7.86957351099308e-05	0.000237211889259148	0.000397647327139246	0.000310466151427841	0.000475022814852162	0.000355886059776591
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.00038557148831743	0.000254927472593946	0.000188114481833487	0.000349204290303699	0.000442834559863071	0.000386888932900776	0.000164993574745498	0.000652928895969866	0.000691840099985375	0.000264456391996554	7.86957351099308e-05	0.000237211889259148	0.000397647327139246	0.000310466151427841	0.000475022814852162	0.000355886059776591
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.00038557148831743	0.000254927472593946	0.000188114481833487	0.000349204290303699	0.000442834559863071	0.000386888932900776	0.000164993574745498	0.000652928895969866	0.000691840099985375	0.000264456391996554	7.86957351099308e-05	0.000237211889259148	0.000397647327139246	0.000310466151427841	0.000475022814852162	0.000355886059776591
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.000336349596191801	0.000436401266643874	0.000470286204583717	0.000738830942185962	0.000402576872602792	0.000827605891248616	0.000796950096883916	0.000531880280424891	0.000799102130990859	0.000412240846347569	0.000188307651870192	0.000260933078185062	0.000173656111219038	0.000543315764998721	0.000517912438680381	0.000899370972768748
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.000164072973752098	0.000207398621771346	0.000122274413191766	0.000232428579076739	0.000148831449871335	0.000252318869283115	0.00023348147369646	0.000264106070279946	0.000332512296117002	0.000124450066821908	5.62112393642363e-05	9.9628993488842e-05	0.000118287496047751	0.000256472038136042	0.000221731262810038	0.000281398279823351
