Taxonomy	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Bacteria|p__Proteobacteria|c__CFGB12074	0	0	0.405904595282571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12074|o__OFGB12074	0	0	0.405904595282571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12074|o__OFGB12074|f__FGB12074	0	0	0.405904595282571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145|o__OFGB12145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145|o__OFGB12145|f__FGB12145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145|o__OFGB12145|f__FGB12145|g__GGB45230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145|o__OFGB12145|f__FGB12145|g__GGB45230|s__GGB45230_SGB62755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12145|o__OFGB12145|f__FGB12145|g__GGB45230|s__GGB45230_SGB62755|t__SGB62755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333111607851171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12146	0	0	0.272749804761725	0	0	0	0.101232832823196	0	0	0	0	0	0	0	0	0	0.30686043460778	0	0	0	0.116007125623072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12146|o__OFGB12146	0	0	0.272749804761725	0	0	0	0.101232832823196	0	0	0	0	0	0	0	0	0	0.30686043460778	0	0	0	0.116007125623072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12146|o__OFGB12146|f__FGB12146	0	0	0.272749804761725	0	0	0	0.101232832823196	0	0	0	0	0	0	0	0	0	0.30686043460778	0	0	0	0.116007125623072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12146|o__OFGB12146|f__FGB12146|g__GGB34864	0	0	0.272749804761725	0	0	0	0.101232832823196	0	0	0	0	0	0	0	0	0	0.30686043460778	0	0	0	0.116007125623072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB12428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191799703833625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28439265421752	0.125065316524898	0	0	0	0	0	0	0	0.150866557540454
k__Bacteria|p__Proteobacteria|c__CFGB12428|o__OFGB12428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191799703833625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28439265421752	0.125065316524898	0	0	0	0	0	0	0	0.150866557540454
k__Bacteria|p__Proteobacteria|c__CFGB12428|o__OFGB12428|f__FGB12428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191799703833625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28439265421752	0.125065316524898	0	0	0	0	0	0	0	0.150866557540454
k__Bacteria|p__Proteobacteria|c__CFGB12428|o__OFGB12428|f__FGB12428|g__GGB35373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191799703833625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28439265421752	0.125065316524898	0	0	0	0	0	0	0	0.150866557540454
k__Bacteria|p__Proteobacteria|c__CFGB12520	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.576120817124546	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB12520|o__OFGB12520	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.576120817124546	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB12520|o__OFGB12520|f__FGB12520	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.576120817124546	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB12520|o__OFGB12520|f__FGB12520|g__GGB47007	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.576120817124546	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB12520|o__OFGB12520|f__FGB12520|g__GGB47007|s__GGB47007_SGB64926	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.25343236849043	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB12520|o__OFGB12520|f__FGB12520|g__GGB47007|s__GGB47007_SGB64926|t__SGB64926	0	0	0	0	0.660189906623919	0	2.19360543204583	0.361404720683408	1.4333660927932	0	0	0.249994719121791	0.636586366593972	0.25343236849043	0	0	0.332103266455623	0	0	2.83408879879469	0	0.490793622808344	0.999132260842676	0	0	0.624232646899129	0	0	4.78662170135439	0	0	0	0	0	0.770811204258802	0	0	0	0	3.58105825949955	0
k__Bacteria|p__Proteobacteria|c__CFGB126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216515658848456	0.185270916335365	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB126|o__OFGB126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216515658848456	0.185270916335365	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB126|o__OFGB126|f__FGB126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216515658848456	0.185270916335365	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0267470976096	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB128|o__OFGB128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0267470976096	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB128|o__OFGB128|f__FGB128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0267470976096	0	0	0	0	0	0	0	0	0
