clade_name	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae	0.099403578528827	0.233644859813084	0.072463768115942	0	0.0528262017960909	0	0	0.0648929266709929	0	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus	0	0.233644859813084	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Unclassified_Methanococcus	0	0.233644859813084	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus	0	0	0	0	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus|s__Unclassified_Methanothermococcus	0	0	0	0	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus|s__Unclassified_Methanothermococcus|t__	0	0	0	0	0	0	0	0.0648929266709929	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Unclassified_Methanococcaceae	0.099403578528827	0	0.072463768115942	0	0.0528262017960909	0	0	0	0	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Unclassified_Methanococcaceae|s__	0.099403578528827	0	0.072463768115942	0	0.0528262017960909	0	0	0	0	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Unclassified_Methanococcaceae|s__|t__	0	0	0	0	0.0528262017960909	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Unclassified_Methanococcales	0	0	0	0	0.0528262017960909	0.0705218617771509	0	0	0.120481927710843	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Unclassified_Methanococcales|g__	0	0	0	0	0.0528262017960909	0.0705218617771509	0	0	0.120481927710843	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Unclassified_Methanococcales|g__|s__	0	0	0	0	0.0528262017960909	0.0705218617771509	0	0	0.120481927710843	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Unclassified_Methanococcales|g__|s__|t__	0	0	0	0	0.0528262017960909	0.0705218617771509	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.298210735586481	0.467289719626168	0.144927536231884	0.191938579654511	0.105652403592182	0.141043723554302	0.24896265560166	0.194678780012979	0	0.680272108843537	0.532544378698225	0.0649772579597141
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0	0.233644859813084	0.072463768115942	0.127959053103007	0.0528262017960909	0.0705218617771509	0.0829875518672199	0.194678780012979	0	0.136054421768707	0.473372781065089	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0	0	0	0.0639795265515035	0	0	0.0829875518672199	0.0648929266709929	0	0	0.29585798816568	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0	0	0	0.0639795265515035	0	0	0.0829875518672199	0.0648929266709929	0	0	0.29585798816568	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Unclassified_Methanocorpusculum	0	0	0	0.0639795265515035	0	0	0.0829875518672199	0.0648929266709929	0	0	0.29585798816568	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Unclassified_Methanocorpusculum|t__	0	0	0	0.0639795265515035	0	0	0.0829875518672199	0.0648929266709929	0	0	0.29585798816568	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	0	0.233644859813084	0.072463768115942	0	0	0	0	0	0	0.136054421768707	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus	0	0.233644859813084	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Unclassified_Methanoculleus	0	0.233644859813084	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanomicrobium	0	0	0.072463768115942	0	0	0	0	0	0	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanomicrobium|s__Unclassified_Methanomicrobium	0	0	0.072463768115942	0	0	0	0	0	0	0.136054421768707	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Unclassified_Methanomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Unclassified_Methanomicrobiaceae|s__	0	0	0	0	0	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Unclassified_Methanomicrobiaceae|s__|t__	0	0	0	0	0	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae	0	0	0	0	0.0528262017960909	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula	0	0	0	0	0.0528262017960909	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Unclassified_Methanoregula	0	0	0	0	0.0528262017960909	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Unclassified_Methanoregula|t__	0	0	0	0	0.0528262017960909	0	0	0	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae	0	0	0	0	0	0.0705218617771509	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	0	0	0	0	0	0.0705218617771509	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Unclassified_Methanospirillum	0	0	0	0	0	0.0705218617771509	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Unclassified_Methanospirillum|t__	0	0	0	0	0	0.0705218617771509	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales	0	0	0	0.0639795265515035	0	0	0	0.129785853341986	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__	0	0	0	0.0639795265515035	0	0	0	0.129785853341986	0	0	0.0591715976331361	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Unclassified_Methanomicrobiales|g__|s__	0	0	0	0.0639795265515035	0	0	0	0.129785853341986	0	0	0.0591715976331361	0
