Taxa	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus|s__desulfurococcus_mucosus	2.86883541060924e-05	2.71932660771348e-05	0.000150389508827864	7.46755719775436e-05	5.3488321092531e-05	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	3.52984323613204e-05	9.88522267946869e-05	6.45894276149514e-05	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus	0.000286883541060924	0.000244739394694213	0.00018798688603483	0.000112013357966315	0.000106976642185062	6.55002384208679e-05	0.000159729992420812	0.000140548137737175	0.000105895297083961	0.000263605938119165	0.00022606299665233	0.000131889842965358
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus|s__ignicoccus_hospitalis	0.000229506832848739	0.000135966330385674	0.000112792131620898	7.46755719775436e-05	5.3488321092531e-05	3.27501192104339e-05	0.000119797494315609	0.000105411103302881	0.000105895297083961	0.000263605938119165	0.000161473569037379	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__ignicoccus|s__ignicoccus_islandicus	5.73767082121848e-05	0.000108773064308539	7.51947544139321e-05	3.73377859887718e-05	5.3488321092531e-05	3.27501192104339e-05	3.9932498105203e-05	3.51370344342937e-05	0	0	6.45894276149514e-05	3.29724607413396e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus	0.00011475341642437	0.000108773064308539	0	0.000261364501921402	0.000160464963277593	0.00016375059605217	0.000199662490526015	0.000140548137737175	0.000105895297083961	0.000164753711324478	0.00022606299665233	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus|s__staphylothermus_hellenicus	2.86883541060924e-05	2.71932660771348e-05	0	0.000112013357966315	8.02324816387966e-05	9.82503576313018e-05	7.98649962104059e-05	7.02740688685875e-05	3.52984323613204e-05	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__staphylothermus|s__staphylothermus_marinus	8.60650623182772e-05	2.71932660771348e-05	0	0.000149351143955087	8.02324816387966e-05	6.55002384208679e-05	0.000119797494315609	7.02740688685875e-05	7.05968647226408e-05	9.88522267946869e-05	6.45894276149514e-05	6.59449214826792e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius	0.000200818478742647	0.000217546128617078	0.000112792131620898	0.000149351143955087	0.000133720802731328	0.000229250834473038	7.98649962104059e-05	3.51370344342937e-05	0.000211790594167922	0.000230655195854269	0.000129178855229903	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermogladius|s__thermogladius_calderae	0.000200818478742647	0.000217546128617078	0.000112792131620898	0.000149351143955087	0.000133720802731328	0.000229250834473038	7.98649962104059e-05	3.51370344342937e-05	0.000211790594167922	0.000230655195854269	0.000129178855229903	9.89173822240188e-05
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__thermosphaera	5.73767082121848e-05	8.15797982314044e-05	0.000150389508827864	0.000149351143955087	5.3488321092531e-05	6.55002384208679e-05	0.000199662490526015	7.02740688685875e-05	7.05968647226408e-05	9.88522267946869e-05	0.000193768282844854	0.000131889842965358
