Taxa	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_longa	1.31154784258353e-05	9.25051273823627e-06	7.60121226620891e-06	1.98699354837157e-05	0	7.30607952576238e-06	7.84274256943137e-06	4.70841112190416e-05	9.69541843002089e-06	2.94632734403911e-05	4.59695942337747e-05	3.54793463892145e-05	1.39216603115282e-05	0	0.000112783523169744	1.08669351041125e-05	0	0.000200323417713864	1.28004994465481e-05	1.18045428055231e-05	6.68424744432325e-05	4.22981202576468e-05	0	1.82124694920268e-05	0	8.62228621516992e-06	2.01881927700455e-05	1.18795114218301e-05	1.77576882167255e-05	1.07517788567244e-05	4.18013392870432e-05	3.35129472945656e-05	0.000188511762523636	8.10511879790822e-06	9.12628884083594e-06	0	1.42441234800274e-05	0	7.4440921122184e-05	1.13418700905262e-05	0.000114858821738695
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_salifodinae	4.90104720123318e-05	1.7956877668341e-05	0	2.52401883171524e-05	4.47715926831229e-05	1.73519388736856e-05	1.96068564235784e-05	4.18525433058147e-05	3.42571451194072e-05	5.47175078178692e-05	8.70636254427551e-05	0.000129839310190317	3.24838740602324e-05	3.40168447050554e-05	7.67743260131392e-05	1.44892468054833e-05	1.91664107884276e-05	0.000105973139063648	2.39313685305031e-05	2.30725154835225e-05	6.47536471168815e-05	3.28283918417557e-05	9.16986574353716e-06	7.81618482366148e-05	1.01640802724502e-05	2.35675823214645e-05	3.58177613662098e-05	2.17791042733553e-05	2.39045802917458e-05	4.44406859411274e-05	4.87682291682171e-05	2.98569894078857e-05	0.000100436594787183	1.41839578963394e-05	2.03586443372494e-05	1.30702182937212e-05	5.61386043036374e-05	3.90166450274934e-05	9.8307475985785e-05	5.1038415407368e-05	5.25798161737138e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_sp._kzca68	0	0	6.91019296928083e-06	1.61107585003101e-05	2.23857963415614e-05	0	0	2.84829808609017e-05	1.55126694880334e-05	2.52542343774781e-05	6.8954391350662e-05	8.37916478553788e-05	1.92251499540151e-05	0	3.05738466424005e-05	0	1.11804062932495e-05	4.37566509682161e-05	7.79160835876844e-06	0	1.60143428353578e-05	1.26263045545214e-05	0	2.04890281785301e-05	0	1.09215625392152e-05	1.04197123974428e-05	1.91392128462819e-05	1.16107961417051e-05	2.00699871992188e-05	5.51017654238297e-05	2.55917052067592e-05	4.32649946775558e-05	4.9981565920434e-05	8.4242666223101e-06	0	9.21678578119419e-06	1.43061031767476e-05	0.0001051264916611	3.2891423262526e-05	5.51322344345737e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_sp._ypl8	1.17349017494316e-05	1.52361386276833e-05	1.79665017201302e-05	2.14810113337468e-05	1.803300260848e-05	1.46121590515248e-05	1.00835261606975e-05	3.13894074793611e-05	1.0988140887357e-05	2.03436888040796e-05	0.000124675111634025	7.02038130680201e-05	1.85622137487042e-05	0	6.86213002418323e-05	1.66626338263058e-05	1.43748080913207e-05	0.000116228604134324	1.89224774427233e-05	7.5119817853329e-06	1.53180670599074e-05	2.39899786535907e-05	1.5064779435811e-05	2.04890281785301e-05	1.33403553575909e-05	1.66697533493285e-05	2.73517450432875e-05	1.71592942759769e-05	1.16107961417051e-05	1.7202846170759e-05	1.33004261367865e-05	5.66673472435381e-05	0.000105844719121878	0.00013508531329847	2.10606665557752e-05	1.63377728671515e-05	2.17851300282772e-05	2.01585999308716e-05	1.30697800443529e-05	1.81469921448419e-05	3.16499864346627e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__haloterrigena|s__haloterrigena_turkmenica	2.27795151606613e-05	2.50307991740511e-05	2.14215982047706e-05	1.93329102003721e-05	2.61167623984883e-05	3.92701774509728e-05	8.96313436506442e-06	6.62665269008733e-05	1.87444756313737e-05	2.45527278669926e-05	6.05962833081575e-05	3.84988652308497e-05	1.85622137487042e-05	1.3478372430305e-05	8.96832834843749e-05	4.27432780761758e-05	1.59720089903564e-05	0.000134004743590162	2.22617381679098e-05	2.25359453559987e-05	4.80430285060733e-05	3.72475984358382e-05	0	1.82124694920268e-05	6.41607567198419e-05	1.49452961062945e-05	4.42837776891321e-05	2.57389414139653e-05	2.73195203334238e-05	3.08217660559432e-05	5.25683509215846e-05	5.30113893568583e-05	0.000106617308312548	8.71300270775133e-05	1.54444888075685e-05	0	6.53553900848316e-05	4.03171998617432e-05	4.26188479707161e-05	4.76358543802101e-05	9.4949959303988e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halovivax	1.4496055102239e-05	2.9928129447235e-05	9.88157594607158e-05	0.000251327832604837	0.000199606684045589	3.47038777473713e-05	0.000110358591869856	6.97542388430246e-05	0.000152541249965662	6.03295599017532e-05	0.000119799548609231	9.51148435115111e-05	3.64614912920976e-05	1.3478372430305e-05	4.5521060556463e-05	0.000774450241753083	3.03468170816771e-05	6.76860694664592e-05	9.79516479388032e-05	3.48770582890456e-05	2.64584794671129e-05	5.05052182180857e-05	7.59788875893079e-05	0.000141146638563207	6.09844816347012e-05	2.70164968075324e-05	3.58177613662098e-05	0.000112195385650618	0.000107912105317024	4.87413974838171e-05	0.000101336580089802	8.34777050791906e-05	6.02619568723099e-05	2.63416360932017e-05	4.00152664559729e-05	2.61404365874425e-05	4.189448082361e-05	5.20221933699912e-05	0.000103421737742271	7.03195945612625e-05	5.10483652171979e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halovivax|s__halovivax_ruber	0	1.57802864358148e-05	8.63774121160103e-05	0.000237902200521245	0.000136802088753987	2.19182385772871e-05	7.5626446205231e-05	2.61578395661342e-05	0.000107942325187566	3.08662864613621e-05	6.825788234712e-05	1.58524739185852e-05	1.32587241062173e-05	0	2.5138496128196e-05	0.000712146480489505	1.99650112379455e-05	2.80316045265134e-05	7.40202794083001e-05	2.03896648459036e-05	1.81031701617088e-05	2.39899786535907e-05	5.63291752817282e-05	8.80269358781293e-05	6.09844816347012e-05	6.89782897213594e-06	1.8234496695525e-05	8.05166885257376e-05	7.64946569335867e-05	2.72378397703684e-05	3.54678030314306e-05	3.04663157223323e-05	2.85858000548137e-05	9.45597193089292e-06	1.26363999334651e-05	1.47039955804364e-05	3.10019158094714e-05	2.4060264433621e-05	3.01173192326393e-05	2.04153661629472e-05	1.99088624347072e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__halovivax|s__halovivax_sp._kzca124	1.4496055102239e-05	1.36036952032886e-05	1.24383473447055e-05	1.34256320835917e-05	6.28045952916029e-05	1.27856391700842e-05	3.41719497668081e-05	4.35963992768904e-05	4.3952563549428e-05	2.87617669299056e-05	5.1541666262111e-05	7.92623695929259e-05	2.25398309805694e-05	1.3478372430305e-05	1.97031456139915e-05	6.23037612635782e-05	1.03818058437316e-05	3.89707672685674e-05	2.33748250763053e-05	1.39508233156182e-05	8.35530930540406e-06	2.6515239564495e-05	1.8994721897327e-05	5.23608497895769e-05	0	1.95438487543852e-05	1.69320326458446e-05	3.16786971248804e-05	3.14174483834374e-05	2.15035577134487e-05	6.52354234328098e-05	5.24020630424116e-05	3.16761568174962e-05	1.68856641623088e-05	2.73788665225078e-05	1.14364410070061e-05	1.08925650141386e-05	2.73116515192454e-05	7.27361672033554e-05	4.99042283983153e-05	3.06290191303187e-05
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__natrarchaeobaculum	3.79658586011021e-05	2.3942503557788e-05	4.9753389378822e-05	8.9146197035049e-05	8.95431853662457e-05	4.74895169174555e-05	6.89040954314327e-05	8.71927985537807e-05	6.72215677814782e-05	5.40160013073837e-05	0.000114227476580895	0.000192494326154249	4.30908533452063e-05	3.53004992222273e-05	0.000121615967755327	4.34677404164499e-05	2.55552143845702e-05	0.000168873324830459	3.39491507060625e-05	4.72181712220925e-05	6.40573713414311e-05	6.56567836835115e-05	3.6024472563896e-05	6.45024961175948e-05	3.36685159024913e-05	3.62136021037137e-05	3.32128332668491e-05	5.6097692825309e-05	4.16622685084713e-05	6.6661028911691e-05	7.15689596884224e-05	8.59150103369772e-05	0.00012129650293529	5.87621112848346e-05	2.87829109595595e-05	2.20559933706546e-05	2.26230196447494e-05	4.03171998617432e-05	7.27361672033554e-05	5.72764439571574e-05	0.0001056701159996
k__archaea|p__euryarchaeota|c__halobacteria|o__natrialbales|f__natrialbaceae|g__natrarchaeobaculum|s__natrarchaeobaculum_aegyptiacum	2.83018218662761e-05	2.3942503557788e-05	4.9753389378822e-05	7.08873374013643e-05	7.21320104339202e-05	3.79002875398923e-05	5.82603733729187e-05	5.46408204270359e-05	4.97698146074406e-05	2.38512213565071e-05	5.92032653010735e-05	0.000117761234823776	2.78433206230563e-05	3.53004992222273e-05	8.08508388987926e-05	2.82540312706925e-05	2.55552143845702e-05	0.000127851464547756	2.50444554388985e-05	3.75599089266645e-05	4.59542011797223e-05	4.79799573071815e-05	3.6024472563896e-05	4.24957621480624e-05	2.22339255959848e-05	2.64416777265211e-05	3.32128332668491e-05	3.49785614087221e-05	3.41494004167798e-05	4.87413974838171e-05	4.05346320359207e-05	3.65595788667988e-05	9.34832920711474e-05	3.30959017581252e-05	1.40404443705168e-05	9.80266372029093e-06	2.26230196447494e-05	3.05630386048699e-05	5.45521254025165e-05	3.51597972806313e-05	7.86144824344847e-05
