;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40;ID41;ID42;ID43;ID44;ID45;ID46;ID47;ID48;ID49;ID50;ID51;ID52;ID53;ID54;ID55;ID56;ID57;ID58;ID59;ID60;ID61
ID20;0.825084;0.785659;0.755126;0.833640;0.824253;0.762328;0.766058;0.794971;0.859327;0.751086;0.735474;0.848085;0.905945;0.736264;0.610521;0.344869;0.866055;0.846520;0.679106;0.550967;0.000000;0.800148;0.837189;0.714162;0.711869;0.845007;0.836499;0.729574;0.689264;0.864162;0.876735;0.926262;0.744256;0.652980;0.481830;0.843716;0.765160;0.726663;0.565606;0.770358;0.610815;0.518610;0.698872;0.658943;0.725019;0.552853;0.651758;0.509351;0.643064;0.582391;0.667441;0.512721;0.722402;0.640109;0.561355;0.622334;0.514844;0.669933;0.584791;0.706740;0.661533;0.627481
ID21;0.795283;0.764672;0.757454;0.779020;0.701164;0.800997;0.824716;0.811568;0.645788;0.749622;0.753311;0.463666;0.501238;0.725092;0.762928;0.793594;0.416635;0.462079;0.781193;0.752456;0.800148;0.000000;0.562517;0.759645;0.744339;0.769418;0.788651;0.766162;0.754277;0.855749;0.429678;0.756003;0.738893;0.742867;0.824391;0.438156;0.814515;0.755766;0.792267;0.837236;0.800278;0.818528;0.754253;0.762823;0.798652;0.865412;0.722962;0.774328;0.795184;0.839557;0.751629;0.818774;0.785121;0.752719;0.774456;0.729170;0.755278;0.777340;0.816343;0.781449;0.729600;0.738586
ID22;0.465052;0.828688;0.823396;0.789127;0.427851;0.835606;0.834426;0.812450;0.327077;0.811600;0.803098;0.480761;0.652140;0.798940;0.811328;0.821927;0.531093;0.420075;0.825006;0.808600;0.837189;0.562517;0.000000;0.803893;0.809087;0.462110;0.460476;0.830493;0.811015;0.546532;0.554120;0.769955;0.807160;0.787348;0.846832;0.495227;0.834708;0.822717;0.820220;0.864791;0.821733;0.828646;0.823026;0.824329;0.812878;0.857332;0.779925;0.790802;0.806667;0.830504;0.785503;0.830692;0.819367;0.796808;0.800015;0.784777;0.770095;0.813532;0.833593;0.817532;0.780065;0.783205
ID23;0.733490;0.456384;0.420350;0.648404;0.636242;0.480121;0.487157;0.596149;0.859105;0.486563;0.545511;0.813457;0.898203;0.574406;0.499822;0.682687;0.861122;0.819833;0.449984;0.495895;0.714162;0.759645;0.803893;0.000000;0.484150;0.823454;0.830939;0.491349;0.517936;0.743337;0.900999;0.969035;0.530728;0.564095;0.778740;0.810586;0.457198;0.458777;0.623343;0.533267;0.563409;0.644686;0.489316;0.524585;0.429471;0.715923;0.425982;0.611475;0.507446;0.636306;0.416342;0.671324;0.402554;0.449879;0.529125;0.455434;0.553861;0.485380;0.627631;0.498906;0.393098;0.471658
ID24;0.778089;0.430984;0.509370;0.744181;0.743402;0.529249;0.567031;0.672438;0.867552;0.513667;0.537976;0.812068;0.893469;0.547076;0.535871;0.682789;0.859887;0.832419;0.507041;0.510066;0.711869;0.744339;0.809087;0.484150;0.000000;0.836021;0.852862;0.539713;0.510240;0.827269;0.901926;0.970044;0.453741;0.554388;0.768270;0.821237;0.615664;0.509276;0.645904;0.523305;0.571285;0.635640;0.524407;0.561508;0.546188;0.763925;0.450094;0.622663;0.524576;0.636254;0.425086;0.681290;0.488211;0.492442;0.563501;0.495754;0.577014;0.591566;0.675793;0.544076;0.462701;0.450809
ID25;0.364947;0.852646;0.839507;0.825189;0.503240;0.835247;0.854488;0.822086;0.442503;0.829749;0.812265;0.696252;0.853779;0.810826;0.831774;0.840661;0.768667;0.657189;0.827648;0.831719;0.845007;0.769418;0.462110;0.823454;0.836021;0.000000;0.312259;0.828106;0.830729;0.366131;0.779445;0.864447;0.842979;0.820329;0.872372;0.740778;0.844556;0.855921;0.847854;0.865593;0.824294;0.827863;0.846072;0.845418;0.835638;0.856455;0.804281;0.806418;0.838446;0.860035;0.822865;0.847412;0.838117;0.819312;0.820866;0.809627;0.798079;0.821553;0.827836;0.834240;0.813952;0.820933
ID26;0.348747;0.858852;0.854482;0.839694;0.483289;0.842901;0.857370;0.845972;0.399293;0.834170;0.813388;0.703505;0.852248;0.805646;0.828440;0.831246;0.775529;0.633446;0.830212;0.827096;0.836499;0.788651;0.460476;0.830939;0.852862;0.312259;0.000000;0.824854;0.821317;0.370366;0.755783;0.876016;0.847122;0.822287;0.853684;0.733626;0.845265;0.861209;0.856356;0.864813;0.812673;0.811709;0.852732;0.854183;0.842615;0.843700;0.819309;0.822653;0.845615;0.853663;0.827217;0.841768;0.837710;0.836919;0.838460;0.823431;0.815157;0.816417;0.817990;0.848460;0.826819;0.834423
ID27;0.782770;0.557939;0.524152;0.749789;0.728998;0.465391;0.623637;0.695683;0.877347;0.463997;0.545150;0.835595;0.908714;0.503770;0.567142;0.702621;0.874625;0.837861;0.545166;0.599195;0.729574;0.766162;0.830493;0.491349;0.539713;0.828106;0.824854;0.000000;0.433447;0.759981;0.901697;0.969188;0.519799;0.581645;0.782641;0.847769;0.510065;0.516709;0.625555;0.632063;0.582491;0.660897;0.526965;0.556489;0.559602;0.734967;0.507503;0.611195;0.594948;0.681686;0.537238;0.673079;0.522663;0.546381;0.585233;0.540520;0.610737;0.553149;0.645869;0.640644;0.505815;0.514708
ID28;0.768171;0.592723;0.467806;0.704508;0.685989;0.541645;0.569121;0.694031;0.864854;0.463622;0.551253;0.810467;0.901050;0.521323;0.517986;0.629850;0.862013;0.825364;0.591705;0.543431;0.689264;0.754277;0.811015;0.517936;0.510240;0.830729;0.821317;0.433447;0.000000;0.751937;0.897732;0.966853;0.480903;0.494163;0.703585;0.817700;0.532931;0.475344;0.631224;0.626406;0.543229;0.604809;0.548182;0.587435;0.484778;0.698771;0.490515;0.610825;0.554730;0.643980;0.519681;0.699638;0.479308;0.533451;0.586204;0.475416;0.560562;0.528924;0.629720;0.620294;0.511396;0.486235
ID29;0.366627;0.809799;0.781982;0.791670;0.490726;0.784132;0.812364;0.761679;0.523011;0.774927;0.792552;0.780549;0.931230;0.804299;0.785656;0.851639;0.863759;0.740273;0.791918;0.795791;0.864162;0.855749;0.546532;0.743337;0.827269;0.366131;0.370366;0.759981;0.751937;0.000000;0.873012;0.953436;0.803628;0.785239;0.871989;0.806941;0.777603;0.805805;0.836116;0.833544;0.789342;0.818879;0.824166;0.828360;0.769834;0.851157;0.775063;0.820813;0.818820;0.862455;0.789458;0.859418;0.779782;0.792776;0.811377;0.759634;0.784124;0.785878;0.828846;0.820306;0.758266;0.791907
