Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000524893675166671	0.000265077702558298	0.000255112713899255	0.000603768116817055	0.00060434859028137	0.000517764912426039	0.000624848561008478	0.000209483309417322	0.000456081620366781	0.00050394846330399	0.000958386843265416	0.000481872556755552	0.00129395567425442	0.000877579810398882	0	0.000455233270632537	0.00046506355384128	0.000413515335216206	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.000524893675166671	0.000265077702558298	0.000255112713899255	0.000603768116817055	0.00060434859028137	0.000517764912426039	0.000624848561008478	0.000209483309417322	0.000456081620366781	0.00050394846330399	0.000958386843265416	0.000481872556755552	0.00129395567425442	0.000877579810398882	0	0.000455233270632537	0.00046506355384128	0.000413515335216206	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.000541825729204305	0.000430751266657234	0.000255112713899255	0.000603768116817055	0.000553986207757922	0.000597421052799276	0.000485993325228816	0.000523708273543305	0.000561331225066807	0.00016798282110133	0.000410737218542321	0.000240936278377776	0.000258791134850885	0.000383941167049511	0	9.10466541265075e-05	0.00023253177692064	0	0	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.000237048756526884	0.000265077702558298	0.000153067628339553	0.000264148551107462	0.000453261442711027	0.000438108772052802	0.000485993325228816	0.000523708273543305	0.000280665612533404	9.75384122523852e-05	0.000273824812361547	0.000240936278377776	0.000258791134850885	0.000329092428899581	0	0	5.813294423016e-05	0	0	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.000237048756526884	0.000265077702558298	0.000153067628339553	0.000264148551107462	0.000453261442711027	0.000438108772052802	0.000485993325228816	0.000523708273543305	0.000280665612533404	9.75384122523852e-05	0.000273824812361547	0.000240936278377776	0.000258791134850885	0.000329092428899581	0	0	5.813294423016e-05	0	0	0.000690297863528112
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0.000304776972677422	0.000165673564098936	0.000102045085559702	0.000339619565709594	0.000100724765046895	0.000159312280746474	0	0	0.000280665612533404	7.04444088489449e-05	0.000136912406180774	0	0	5.48487381499301e-05	0	9.10466541265075e-05	0.00017439883269048	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	0.000304776972677422	0.000165673564098936	0.000102045085559702	0.000339619565709594	0.000100724765046895	0.000159312280746474	0	0	0.000280665612533404	7.04444088489449e-05	0.000136912406180774	0	0	5.48487381499301e-05	0	9.10466541265075e-05	0.00017439883269048	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales	0.00155774897146238	0.00159046621534979	0.00102045085559702	0.00192451087235436	0.000805798120375159	0.0010753578950387	0.00118026950412712	0.00104741654708661	0.00192957608616715	0.000428085253774357	0.000273824812361547	0.000481872556755552	0.000258791134850885	0.00115182350114853	0.000338957772640684	0.00036418661650603	0.00063946238653176	0	0.00219617182848386	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae	0.000423301350940863	0.000397616553837447	0.000153067628339553	0.000452826087612791	0.000251811912617237	0.00023896842111971	0.000277710471559323	0.000104741654708661	0.000456081620366781	6.23162078279128e-05	0.000136912406180774	0	0	0.00016454621444979	0.000338957772640684	0.000182093308253015	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma	0.000423301350940863	0.000397616553837447	0.000153067628339553	0.000452826087612791	0.000251811912617237	0.00023896842111971	0.000277710471559323	0.000104741654708661	0.000456081620366781	6.23162078279128e-05	0.000136912406180774	0	0	0.00016454621444979	0.000338957772640684	0.000182093308253015	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma|s__cuniculiplasma_divulgatum	0.000423301350940863	0.000397616553837447	0.000153067628339553	0.000452826087612791	0.000251811912617237	0.00023896842111971	0.000277710471559323	0.000104741654708661	0.000456081620366781	6.23162078279128e-05	0.000136912406180774	0	0	0.00016454621444979	0.000338957772640684	0.000182093308253015	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae	0.000389437242865594	0.000662694256395745	0.000306135256679106	0.000566032609515989	0.000251811912617237	0.000278796491306329	0.000347138089449154	0.000314224964125983	0.000596414426633483	0.000102957212933073	0	0.000120468139188888	0	0.00016454621444979	0	9.10466541265075e-05	0.00011626588846032	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma	0.000389437242865594	0.000662694256395745	0.000306135256679106	0.000566032609515989	0.000251811912617237	0.000278796491306329	0.000347138089449154	0.000314224964125983	0.000596414426633483	0.000102957212933073	0	0.000120468139188888	0	0.00016454621444979	0	9.10466541265075e-05	0.00011626588846032	0	0	0
