ID	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	1.77569	1.92287	0.81688	2.19333	1.26925	0.94434	3.27461	1.48564	0.7901	1.19896	1.28088
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium	1.16463	1.75006	0.81688	2.19333	1.03087	0.94434	2.98547	1.33273	0.7901	1.19896	1.28088
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_multivorum	1.16463	1.75006	0.81688	2.19333	1.03087	0.94434	2.98547	1.33273	0.7901	1.19896	1.28088
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium_multivorum|t__GCF_000202835	1.16463	1.75006	0.81688	2.19333	1.03087	0.94434	2.98547	1.33273	0.7901	1.19896	1.28088
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter	0.61106	0.17281	0.0	0.0	0.23838	0.0	0.28914	0.15291	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter|s__Gluconacetobacter_unclassified	0.61106	0.17281	0.0	0.0	0.23838	0.0	0.28914	0.15291	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34447	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34447	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum|s__Rhodospirillum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34447	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	23.95424	13.66657	17.49669	22.29164	21.12569	9.49541	70.83452	84.39855	70.62844	75.10766	67.39313
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	12.60286	2.49926	17.49669	8.13015	19.85189	9.49541	54.21468	58.3151	47.55809	51.16016	43.80403
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38872	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38872	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38872	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.0	0.0	5.47312	0.0	1.46472	1.30491	0.88665	2.04151	2.20172	3.84363	2.25123
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	0.0	0.0	5.47312	0.0	1.46472	1.30491	0.5076	1.39343	0.0	2.02094	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_unclassified	0.0	0.0	5.47312	0.0	1.46472	1.30491	0.5076	1.39343	0.0	2.02094	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.15321	0.64808	2.20172	1.82269	2.25123
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_necessarius	0.0	0.0	0.0	0.0	0.0	0.0	0.15321	0.64808	2.20172	1.82269	2.25123
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_necessarius|t__Polynucleobacter_necessarius_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.15321	0.64808	2.20172	1.82269	2.25123
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	0.0	0.0	0.0	0.0	0.0	0.0	0.22584	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.22584	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	12.60286	2.49926	12.02356	8.13015	18.38716	8.1905	52.76851	55.39215	44.90971	45.98234	40.61422
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	12.60286	2.49926	12.02356	8.13015	18.38716	8.1905	52.76851	55.39215	44.90971	45.98234	40.61422
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	12.60286	2.49926	12.02356	8.13015	18.38716	8.1905	52.76851	55.39215	44.90971	45.98234	40.61422
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.46642	0.88144	0.44665	0.94548	0.93858
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29228	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29228	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans	0.0	0.0	0.0	0.0	0.0	0.0	0.30251	0.61801	0.0	0.6532	0.34906
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans|s__Limnohabitans_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.30251	0.61801	0.0	0.6532	0.34906
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.14847	0.26343	0.44665	0.0	0.58952
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.14847	0.26343	0.44665	0.0	0.58952
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.01544	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.01544	0.0	0.0	0.0	0.0
