X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Candidatus Rokubacteria|c__Candidatus Rokubacteria class incertae sedis|o__Candidatus Rokubacteria order incertae sedis|f__Candidatus Rokubacteria fam. incertae sedis|g__Candidatus Rokubacteria gen. incertae sedis|s__Candidatus Rokubacteria species incertae sedis [ext_mOTU_v3_19625]	0	0	0	0	0	0	0	0.007018434	0	0	0
k__Bacteria|p__Proteobacteria	0.1911858755	0.0997452324	0.2578670741	0.1837478599	0.3143290789	0.1896137914	0.7817932445	0.7906002772	0.8052436576	0.7743045561	0.761716757
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	0	0	0	0	0	0	0.0181774492	0.0386264356	0.0499215765	0.0399480225	0.0377358451
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	0	0	0	0	0	0	0.0181774492	0.0386264356	0.0499215765	0.0399480225	0.0377358451
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae	0	0	0	0	0	0	0.0181774492	0.0386264356	0.0499215765	0.0399480225	0.0377358451
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus	0	0	0	0	0	0	0.0181774492	0.0386264356	0.0499215765	0.0399480225	0.0377358451
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus albertensis/thiooxidans	0	0	0	0	0	0	0.0062119014	0	0	0.0106623285	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrivorans	0	0	0	0	0	0	0.0045987807	0.0189225452	0.0181119376	0.0208477478	0.0377358451
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrooxidans	0	0	0	0	0	0	0	0.0086465189	0.0094182	0	0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrooxidans	0	0	0	0	0	0	0.0073667671	0.0110573716	0.0223914389	0.0084379462	0
