run_accession	library_name	read_count	fastq_ftp
SRR5935824	PSM7J13E_MGX	8745078	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935824/SRR5935824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/004/SRR5935824/SRR5935824_2.fastq.gz
SRR5935825	MSM79HBB_MGX	11458367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935825/SRR5935825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/005/SRR5935825/SRR5935825_2.fastq.gz
SRR5935826	CSM79HLE_MGX	8766123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935826/SRR5935826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5935826/SRR5935826_2.fastq.gz
SRR5935827	MSM6J2JN_MGX	16260968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935827/SRR5935827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5935827/SRR5935827_2.fastq.gz
SRR5935828	MSM5LLDA_MGX	8326050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935828/SRR5935828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5935828/SRR5935828_2.fastq.gz
SRR5935829	MSM6J2J5_MGX	11220767	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935829/SRR5935829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5935829/SRR5935829_2.fastq.gz
SRR5935830	CSM5MCXL_MGX	14303962	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935830/SRR5935830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5935830/SRR5935830_2.fastq.gz
SRR5935831	CSM5MCWE_MGX	12793053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935831/SRR5935831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/001/SRR5935831/SRR5935831_2.fastq.gz
SRR5935832	MSM6J2MJ_MGX	6882441	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935832/SRR5935832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/002/SRR5935832/SRR5935832_2.fastq.gz
SRR5935833	MSM6J2JZ_MGX	12711109	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935833/SRR5935833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/003/SRR5935833/SRR5935833_2.fastq.gz
