Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidocella	0	0	0	0	0	0	1.61777605196373	1.39945820885737	0	0.538573816403935	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__PALSA-911	0	0	0	0	0	0	0.669370886581988	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0	0	0	0	0	0	0.392715543882379	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	0	0	0	0	0	0	0.392715543882379	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__REEB77	0	0	0	0	0	0	0.392715543882379	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.34194660218121	3.03794785982293	0	2.66064972239422	0	0	6.66066866974738	4.63585099918658	1.15720349231789	0.979603028617742	1.4221781510725
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	0	1.31103204543332	0	1.56570886879115	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__UBA6901	0	1.31103204543332	0	1.56570886879115	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales	0	0.832035672675019	0	0	0	0	6.17357123324913	4.63585099918658	1.15720349231789	0.979603028617742	1.4221781510725
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0	0	0	0	0	0	0.835613028021122	0.699755032185577	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Thiomonas	0	0	0	0	0	0	0.835613028021122	0.699755032185577	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Ferrovaceae	0	0	0	0	0	0	1.86187656053623	1.50963381437186	0.699780429816793	0.979603028617742	0.707560676584287
