clade_name	reSRR16235394_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235409_taxonomic_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Unclassified_Bifidobacteriaceae|s__	0.0667596065110252	0.0696601616115749	0.0121832908422264	0.00121966093426028	0.019067611300621	0.0117299988856501	0	0.121842254893997	0.0205185326317949	0.00611850004971281	0.00652682525178484	0.035961715937106	0.277046016862974	0.0476776376499539	0.00330904578573929	0.000233997770001252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.00981758919279782	0.00722401675971888	0.00947589287728719	0.00670813513843152	0.0204670690107583	0.00469199955426004	0.00214532426576277	0.00249932830551789	0.0102592663158975	0.00994256258078332	0.00100412696181305	0.0030329158019246	0.0152135095965217	0.0130729006459551	0.00547265264564574	0.0036269654350194
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0.00392703567711913	0.00412800957698222	0.00631726191819146	0.00579338943773631	0.0127700516050031	0.00234599977713002	0	0.00249932830551789	0.00732804736849819	0.00841293756835512	0	0.00216636842994614	0.01361208753373	0.0115349123346663	0.00279996181870247	0.00327596878001753
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.00392703567711913	0.00412800957698222	0.00631726191819146	0.00579338943773631	0.0127700516050031	0.00234599977713002	0	0.00249932830551789	0.00732804736849819	0.00841293756835512	0	0.00216636842994614	0.01361208753373	0.0115349123346663	0.00279996181870247	0.00327596878001753
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_ammoniagenes	0	0	0	0	0	0.000586499944282505	0	0	0	0	0	0	0.00640568825116704	0	0.00114543892583283	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0.000433273685989229	0	0.000768994155644417	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_confusum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000254541983518407	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0	0	0	0	0.000174932213767165	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_felinum	0	0	0	0.000304915233565069	0	0	0	0	0	0	0	0	0	0	0.000254541983518407	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_mastitidis	0	0	0.000451232994156533	0	0.00122452549637016	0	0	0	0	0	0	0	0	0	0.000127270991759203	0
