X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium sp. DL1	0	0	0	0	0	0	0	0	0	0.0008051019	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum	0	0	0	0	0	0	0	0	0	0.0008970755	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum|s__Halodesulfurarchaeum formicicum	0	0	0	0	0	0	0	0	0	0.0008970755	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriales fam. incertae sedis	0	0	0	0	0	0	0	0	0	0.0007529002	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriales fam. incertae sedis|g__Halobacteriales gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.0007529002	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriales fam. incertae sedis|g__Halobacteriales gen. incertae sedis|s__Halobacteriales species incertae sedis [ext_mOTU_v3_28699]	0	0	0	0	0	0	0	0	0	0.0007529002	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae	0	0	0	0	0	0	0	0	0	0.0005371997	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae|g__Halococcus	0	0	0	0	0	0	0	0	0	0.0005371997	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae|g__Halococcus|s__Halococcus hamelinensis	0	0	0	0	0	0	0	0	0	0.0005371997	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	0	0	0	0	0	0	0	0	0	0.8154481549	0.3910358603	0.1811533998	0	0.6693503585	0.6332783554	0.8580456613	0.7232480065	0	0	0.4178228501
